驷不及舌	sibujishe,sbjs
驷车	siche,sc
驷乘	sicheng,sc
驷房	sifang,sf
驷盖	sigai,sg
驷黄	sihuang,sh
驷介	sijie,sj
驷景	sijing,sj
驷骊	sili,sl
驷駵	siliu,sl
驷马	sima,sm
驷马不追	simabuzhui,smbz
驷马高车	simagaoche,smgc
驷马高盖	simagaogai,smgg
驷马高门	simagaomen,smgm
驷马门	simamen,smm
驷马莫追	simamozhui,smmz
驷马难追	simananzhui,smnz
驷马轩车	simaxuanche,smxc
驷马仰秣	simayangmo,smym
驷牡	simu,sm
驷骐	siqi,sq
驷铁	sitie,st
驷驖	sitie,st
驷騵	siyuan,sy
驷之过蠙	sizhiguopin,szgp
驷之过隙	sizhiguoxi,szgx
