览察	lancha,lc
览读	landu,ld
览古	langu,lg
览观	languan,lg
览核	lanhe,lh
览见	lanjian,lj
览镜	lanjing,lj
览究	lanjiu,lj
览揆	lankui,lk
览历	lanli,ll
览取	lanqu,lq
览省	lansheng,ls
览胜	lansheng,ls
览示	lanshi,ls
览试	lanshi,ls
览眺	lantiao,lt
览闻辩见	lanwenbianjian,lwbj
览物	lanwu,lw
览阅	lanyue,ly
览照	lanzhao,lz
览政	lanzheng,lz
览瞩	lanzhu,lz
览总	lanzong,lz
