连案	lianan,la
连敖	lianao,la
连鳌	lianao,la
连鳌跨鲸	lianaokuajing,lakj
连白	lianbai,lb
连败	lianbai,lb
连班	lianban,lb
连棒	lianbang,lb
连保	lianbao,lb
连抱	lianbao,lb
连杯	lianbei,lb
连奔带跑	lianbendaipao,lbdp
连本带利	lianbendaili,lbdl
连蹦带跳	lianbengdaitiao,lbdt
连比	lianbi,lb
连笔	lianbi,lb
连臂	lianbi,lb
连璧	lianbi,lb
连璧贲临	lianbilin,lbl
连边	lianbian,lb
连编	lianbian,lb
连编累牍	lianbianleidu,lbld
连抃	lianbian,lb
连标	lianbiao,lb
连镳	lianbiao,lb
连镳并驾	lianbiaobingjia,lbbj
连镳并轸	lianbiaobingzhen,lbbz
连表	lianbiao,lb
连鬓胡	lianbinhu,lbh
连鬓胡须	lianbinhuxu,lbhx
连鬓胡子	lianbinhuzi,lbhz
连兵	lianbing,lb
连并	lianbing,lb
连波	lianbo,lb
连补	lianbu,lb
连不连	lianbu,lb
连步	lianbu,lb
连曹	liancao,lc
连草	liancao,lc
连策	liance,lc
连茬	liancha,lc
连缠	lianchan,lc
连蝉冠	lianchanguan,lcg
连蝉锦	lianchanjin,lcj
连昌	lianchang,lc
连昌宫	lianchanggong,lcg
连常	lianchang,lc
连朝	lianzhao,lz
连车	lianche,lc
连车平斗	lianchepingdou,lcpd
连扯	lianche,lc
连扯跟头	lianchegentou,lcgt
连称	liancheng,lc
连城	liancheng,lc
连城宝	lianchengbao,lcb
连城璧	lianchengbi,lcb
连城价	lianchengjia,lcj
连城璞	lianchengpu,lcp
连城县	lianchengxian,lcx
连城玉	lianchengyu,lcy
连城珍	lianchengzhen,lcz
连城之璧	lianchengzhibi,lczb
连塍	liancheng,lc
连池	lianchi,lc
连持	lianchi,lc
连齿木屐	lianchimuji,lcmj
连虫陆	lianchonglu,lcl
连畴接陇	lianchoujielong,lcjl
连船	lianchuan,lc
连串	lianchuan,lc
连串地	lianchuande,lcd
连疮	lianchuang,lc
连床	lianchuang,lc
连锤	lianchui,lc
连春	lianchun,lc
连词	lianci,lc
连次	lianci,lc
连从	liancong,lc
连丛	liancong,lc
连榱	liancui,lc
连村	liancun,lc
连错	liancuo,lc
连搭	lianda,ld
连达	lianda,ld
连逮	liandai,ld
连带	liandai,ld
连带地	liandaide,ldd
连带责任	liandaizeren,ldzr
连裆	liandang,ld
连裆裤	liandangku,ldk
连党	liandang,ld
连到	liandao,ld
连地	liandi,ld
连堤	liandi,ld
连底	liandi,ld
连底冻	liandidong,ldd
连底连面	liandimian,ldm
连底清	liandiqing,ldq
连抵其隙	liandiqixi,ldqx
