轸恻	zhence,zc
轸悼	zhendao,zd
轸方	zhenfang,zf
轸癏	zhenguan,zg
轸怀	zhenhuai,zh
轸救	zhenjiu,zj
轸慨	zhenkai,zk
轸虑	zhenlu,zl
轸悯	zhenmin,zm
轸慕	zhenmu,zm
轸念	zhennian,zn
轸琴	zhenqin,zq
轸丘	zhenqiu,zq
轸石	zhenshi,zs
轸宿	zhenxiu,zx
轸粟	zhensu,zs
轸叹	zhentan,zt
轸恸	zhentong,zt
轸望	zhenwang,zw
轸惜	zhenxi,zx
轸心	zhenxin,zx
轸恤	zhenxu,zx
轸翼	zhenyi,zy
轸忧	zhenyou,zy
轸玉	zhenyu,zy
轸域	zhenyu,zy
轸辙	zhenzhe,zz
轸轸	zhen,z
轸转	zhenzhuan,zz
