事败垂成	shibaichuicheng,sbcc
事半功百	shibangongbai,sbgb
事半功倍	shibangongbei,sbgb
事倍功半	shibeigongban,sbgb
事本	shiben,sb
事必躬亲	shibigongqin,sbgq
事变	shibian,sb
事别	shibie,sb
事柄	shibing,sb
事不关己	shibuguanji,sbgj
事不过三	shibuguosan,sbgs
事不师古	shibugu,sbg
事不宜迟	shibuyichi,sbyc
事不有余	shibuyouyu,sbyy
事产	shichan,sc
事出无奈	shichuwunai,scwn
事出有因	shichuyouyin,scyy
事畜	shichu,sc
事大	shida,sd
事到今日	shidaojinri,sdjr
事到临头	shidaolintou,sdlt
事到如今	shidaorujin,sdrj
事典	shidian,sd
事端	shiduan,sd
事对	shidui,sd
事儿	shier,se
事儿妈	shierma,sem
事发地点	shifadidian,sfdd
事发时	shifa,sf
事分	shifen,sf
事奉	shifeng,sf
事干	shigan,sg
事功	shigong,sg
事功之学	shigongzhixue,sgzx
事故	shigu,sg
事故照射	shiguzhaoshe,sgzs
事关	shiguan,sg
事关重大	shiguanzhongda,sgzd
事过	shiguo,sg
事过景迁	shiguojingqian,sgjq
事过境迁	shiguojingqian,sgjq
事过情迁	shiguoqingqian,sgqq
事核言直	shiheyanzhi,shyz
事后	shihou,sh
事后聪明	shihoucongming,shcm
事后诸葛亮	shihouzhugeliang,shzgl
事化	shihua,sh
事缓则圆	shihuanzeyuan,shzy
事宦	shihuan,sh
事会	shihui,sh
事火咒龙	shihuozhoulong,shzl
事机	shiji,sj
事极	shiji,sj
事急无君子	shijiwujunzi,sjwjz
事几	shiji,sj
事计	shiji,sj
事际	shiji,sj
事济	shiji,sj
事迹	shiji,sj
事寄	shiji,sj
事绩	shiji,sj
事家	shijia,sj
事假	shijia,sj
事件	shijian,sj
事件相关电位	shijianxiangguandianwei,sjxgdw
事节	shijie,sj
事捷功倍	shijiegongbei,sjgb
事界	shijie,sj
事经	shijing,sj
事久见人心	shijiujianrenxin,sjjrx
事酒	shijiu,sj
事居	shiju,sj
事局	shiju,sj
事宽即圆	shikuanjiyuan,skjy
事宽则圆	shikuanzeyuan,skzy
事寛即圆	shikuanjiyuan,skjy
事款	shikuan,sk
事款则圆	shikuanzeyuan,skzy
事况	shikuang,sk
事类	shilei,sl
事理	shili,sl
事力	shili,sl
事利	shili,sl
事例	shili,sl
事例钱	shiliqian,slq
事律	shilu,sl
事虑	shilu,sl
事略	shilue,sl
事伦	shilun,sl
事苗	shimiao,sm
事魔吃菜	shimochicai,smcc
事魔食菜	shimocai,smc
事目	shimu,sm
事怕行家	shipahangjia,sphj
事期	shiqi,sq
事齐事楚	shiqichu,sqc
事契	shiqi,sq
事前	shiqian,sq
事前地	shiqiande,sqd
事情	shiqing,sq
事情要一点一点地做	shiqingyaoyidiandezuo,sqyyddz
事求是	shiqiu,sq
事权	shiquan,sq
事人	shiren,sr
事刃	shiren,sr
事任	shiren,sr
事戎	shirong,sr
事色	shise,ss
事上	shishang,ss
事生肘腋	shishengzhouye,sszy
事实	shi,s
事实地	shide,sd
事实婚	shihun,sh
事实求是	shiqiu,sq
事实上	shishang,ss
事实胜于雄辩	shishengyuxiongbian,ssyxb
事寔	shi,s
事使	shi,s
事始	shi,s
事事	shi,s
事事物物	shiwu,sw
事势	shi,s
事守	shishou,ss
事书	shishu,ss
事枢	shishu,ss
事术	shishu,ss
事数	shishu,ss
事态	shitai,st
事态发展	shitaifazhan,stfz
事体	shiti,st
事条	shitiao,st
事统	shitong,st
事头	shitou,st
事途	shitu,st
事外	shiwai,sw
事往日迁	shiwangriqian,swrq
事望	shiwang,sw
事危累卵	shiweileiluan,swll
事威	shiwei,sw
事为	shiwei,sw
事无不可对人言	shiwubukeduirenyan,swbkdry
事无常师	shiwuchang,swc
事无大小	shiwudaxiao,swdx
事无二成	shiwuercheng,swec
事无巨细	shiwujuxi,swjx
事无三不成	shiwusanbucheng,swsbc
事务	shiwu,sw
事务繁忙	shiwufanmang,swfm
事务律师	shiwulu,swl
事务所	shiwusuo,sws
事务所律师	shiwusuolu,swsl
事务员	shiwuyuan,swy
事务主义	shiwuzhuyi,swzy
事物	shiwu,sw
事隙	shixi,sx
事先	shixian,sx
事先地	shixiande,sxd
事先通知	shixiantongzhi,sxtz
事项	shixiang,sx
事象	shixiang,sx
事效	shixiao,sx
事心	shixin,sx
事行	shixing,sx
事形	shixing,sx
事修	shixiu,sx
事须	shixu,sx
事序	shixu,sx
事绪	shixu,sx
事验	shiyan,sy
事养	shiyang,sy
事繇	shiyao,sy
事要	shiyao,sy
事业	shiye,sy
事业单位	shiyedanwei,sydw
事业家	shiyejia,syj
事业线	shiyexian,syx
事业心	shiyexin,syx
事业有成	shiyeyoucheng,syyc
事宜	shiyi,sy
事以密成	shiyimicheng,symc
事义	shiyi,sy
事役	shiyi,sy
事意	shiyi,sy
事因	shiyin,sy
事用	shiyong,sy
事由	shiyou,sy
事有必至	shiyoubizhi,sybz
事与心违	shiyuxinwei,syxw
事与原违	shiyuyuanwei,syyw
事与愿违	shiyuyuanwei,syyw
事预则立	shiyuzeli,syzl
事在必行	shizaibixing,szbx
事在肚里	shizaiduli,szdl
事在人为	shizairenwei,szrw
事在萧墙	shizaixiaoqiang,szxq
事在心头	shizaixintou,szxt
事证	shizheng,sz
事职	shizhi,sz
事指	shizhi,sz
事制	shizhi,sz
事质	shizhi,sz
事智	shizhi,sz
事衷	shizhong,sz
事主	shizhu,sz
事状	shizhuang,sz
事踪	shizong,sz
