弟布	dibu,db
弟道	didao,dd
弟弟	di,d
弟父	difu,df
弟妇	difu,df
弟共	digong,dg
弟及	diji,dj
弟昆	dikun,dk
弟晜	dikun,dk
弟令	diling,dl
弟妹	dimei,dm
弟门	dimen,dm
弟靡	dimi,dm
弟男子侄	dinanzizhi,dnzz
弟舍	dishe,ds
弟徒	ditu,dt
弟佗	dituo,dt
弟息	dixi,dx
弟媳	dixi,dx
弟媳妇	dixifu,dxf
弟兄	dixiong,dx
弟兄们	dixiongmen,dxm
弟窑	diyao,dy
弟长	dichang,dc
弟子	dizi,dz
弟子都养	dizidouyang,dzdy
弟子孩儿	dizihaier,dzhe
弟子员	diziyuan,dzy
