吵包子	chaobaozi,cbz
吵吵	chao,c
吵吵闹闹	chaonao,cn
吵吵嚷嚷	chaorang,cr
吵翻	chaofan,cf
吵烦	chaofan,cf
吵房	chaofang,cf
吵聒	chaoguo,cg
吵架	chaojia,cj
吵乱子	chaoluanzi,clz
吵螺丝	chaoluosi,cls
吵螺蛳	chaoluosi,cls
吵骂	chaoma,cm
吵闹	chaonao,cn
吵闹地	chaonaode,cnd
吵闹声	chaonaosheng,cns
吵嚷	chaorang,cr
吵扰	chaorao,cr
吵人	chaoren,cr
吵窝子	chaowozi,cwz
吵喜	chaoxi,cx
吵醒	chaoxing,cx
吵殃子	chaoyangzi,cyz
吵秧子	chaoyangzi,cyz
吵杂	chaoza,cz
吵仗	chaozhang,cz
吵子	chaozi,cz
吵嘴	chaozui,cz
