移岸	yian,ya
移报	yibao,yb
移跸	yibi,yb
移避	yibi,yb
移变	yibian,yb
移表	yibiao,yb
移兵	yibing,yb
移并	yibing,yb
移病	yibing,yb
移步	yibu,yb
移步换形	yibuhuanxing,ybhx
移辰	yichen,yc
移成	yicheng,yc
移持	yichi,yc
移除	yichu,yc
移厨	yichu,yc
移厨吃饭汉	yichuchifanhan,yccfh
移船	yichuan,yc
移船就岸	yichuanjiuan,ycja
移春槛	yichunkan,yck
移次	yici,yc
移倅	yicui,yc
移德	yide,yd
移的就箭	yidijiujian,ydjj
移第	yidi,yd
移调	yidiao,yd
移牒	yidie,yd
移鼎	yiding,yd
移东补西	yidongbuxi,ydbx
移东换西	yidonghuanxi,ydhx
移东就西	yidongjiuxi,ydjx
移动	yidong,yd
移动靶	yidongba,ydb
移动电话	yidongdianhua,yddh
移动平均线	yidongpingjunxian,ydpjx
移动平均线指标	yidongpingjunxianzhibiao,ydpjxzb
移动设备	yidongshebei,ydsb
移动式	yidongshi,yds
移动式电话	yidongshidianhua,ydsdh
移动通信网络	yidongtongxinwangluo,ydtxwl
移动性	yidongxing,ydx
移都	yidou,yd
移掇	yiduo,yd
移夺	yiduo,yd
移恶	yie,ye
移恩	yien,ye
移藩	yifan,yf
移防	yifang,yf
移风	yifeng,yf
移风崇教	yifengchongjiao,yfcj
移风改俗	yifenggaisu,yfgs
移风革俗	yifenggesu,yfgs
移风平俗	yifengpingsu,yfps
移风易尚	yifengshang,yfs
移风易俗	yifengsu,yfs
移风振俗	yifengzhensu,yfzs
移封	yifeng,yf
移符	yifu,yf
移付	yifu,yf
移覆	yifu,yf
移改	yigai,yg
移告	yigao,yg
移根	yigen,yg
移根换叶	yigenhuanye,yghy
移根接叶	yigenjieye,ygjy
移更	yigeng,yg
移工	yigong,yg
移宫	yigong,yg
移宫换羽	yigonghuanyu,yghy
移关	yiguan,yg
移贯	yiguan,yg
移光	yiguang,yg
移晷	yigui,yg
移国	yiguo,yg
移国动众	yiguodongzhong,ygdz
移过	yiguo,yg
移劾	yihe,yh
移候	yihou,yh
移户	yihu,yh
移花	yihua,yh
移花接木	yihuajiemu,yhjm
移化	yihua,yh
移画	yihua,yh
移缓就急	yihuanjiuji,yhjj
