葛布	gebu,gb
葛带	gedai,gd
葛法翁	gefaweng,gfw
葛粉	gefen,gf
葛茀	gebo,gb
葛根	gegen,gg
葛沟	gegou,gg
葛洪	gehong,gh
葛巾	gejin,gj
葛屦	geju,gj
葛屦履霜	gejulushuang,gjls
葛莱美奖	gelaimeijiang,glmj
葛兰素史克	gelansushike,glssk
葛藟	gelei,gl
葛缕	gelu,gl
葛缕子	geluzi,glz
葛逻禄	geluolu,gll
葛麻	gema,gm
葛面	gemian,gm
葛摩	gemo,gm
葛帔	gepei,gp
葛瑞格尔	geruier,gre
葛纱	gesha,gs
葛覃	getan,gt
葛藤	geteng,gt
葛天	getian,gt
葛天氏	getianshi,gts
葛仙米	gexianmi,gxm
葛衣	geyi,gy
葛优	geyou,gy
葛优躺	geyoutang,gyt
葛越	geyue,gy
葛洲坝	gezhouba,gzb
葛子	gezi,gz
