涅白	niebai,nb
涅不缁	niebuzi,nbz
涅齿	niechi,nc
涅而不淄	nieerbuzi,nebz
涅而不缁	nieerbuzi,nebz
涅伏	niefu,nf
涅面	niemian,nm
涅墨	niemo,nm
涅盘	niepan,np
涅盘出世	niepanchushi,npcs
涅盘经	niepanjing,npj
涅槃	niepan,np
涅磐	niepan,np
涅菩	niepu,np
涅石	nieshi,ns
涅手	nieshou,ns
涅瓦	niewa,nw
涅瓦河	niewahe,nwh
涅文	niewen,nw
涅污	niewu,nw
涅幰	niexian,nx
涅字	niezi,nz
