坛场	tanchang,tc
坛坫	tandian,td
坛户	tanhu,th
坛靖	tanjing,tj
坛卷	tanjuan,tj
坛坎	tankan,tk
坛陆	tanlu,tl
坛曼	tanman,tm
坛庙	tanmiao,tm
坛山刻	tanshanke,tsk
坛山刻石	tanshankeshi,tsks
坛墠	tanshan,ts
坛社	tanshe,ts
坛事	tanshi,ts
坛坛罐罐	tanguan,tg
坛堂	tantang,tt
坛壝	tanwei,tw
坛位	tanwei,tw
坛席	tanxi,tx
坛宇	tanyu,ty
坛域	tanyu,ty
坛谕	tanyu,ty
坛宅	tanzhai,tz
坛盏	tanzhan,tz
坛琖	tanzhan,tz
坛兆	tanzhao,tz
坛畤	tanzhi,tz
坛子	tanzi,tz
