菊部	jubu,jb
菊部头	jubutou,jbt
菊池	juchi,jc
菊道人	judaoren,jdr
菊粉	jufen,jf
菊糕	jugao,jg
菊花	juhua,jh
菊花杯	juhuabei,jhb
菊花茶	juhuacha,jhc
菊花节	juhuajie,jhj
菊花酒	juhuajiu,jhj
菊华酒	juhuajiu,jhj
菊节	jujie,jj
菊酒	jujiu,jj
菊苣	ju,j
菊科	juke,jk
菊老荷枯	julaoheku,jlhk
菊篱	juli,jl
菊醴	juli,jl
菊泉	juquan,jq
菊水	jushui,js
菊潭	jutan,jt
菊糖	jutang,jt
菊天	jutian,jt
菊醑	juxu,jx
菊芋	juyu,jy
菊月	juyue,jy
菊琖	juzhan,jz
菊枕	juzhen,jz
菊酎	juzhou,jz
