纲柄	gangbing,gb
纲曹	gangcao,gc
纲常	gangchang,gc
纲船	gangchuan,gc
纲法	gangfa,gf
纲贯	gangguan,gg
纲纪	gangji,gj
纲纪废弛	gangjifeichi,gjfc
纲纪仆	gangjipu,gjp
纲鉴	gangjian,gj
纲举目张	gangjumuzhang,gjmz
纲理	gangli,gl
纲领	gangling,gl
纲目	gangmu,gm
纲目不疏	gangmubushu,gmbs
纲目体	gangmuti,gmt
纲纽	gangniu,gn
纲挈目张	gangqiemuzhang,gqmz
纲商	gangshang,gs
纲梢	gangshao,gs
纲首	gangshou,gs
纲署	gangshu,gs
纲提领挈	gangtilingqie,gtlq
纲条	gangtiao,gt
纲网	gangwang,gw
纲维	gangwei,gw
纲辖	gangxia,gx
纲宪	gangxian,gx
纲盐	gangyan,gy
纲要	gangyao,gy
纲银法	gangyinfa,gyf
纲运	gangyun,gy
纲佐	gangzuo,gz
