纺车	fangche,fc
纺绸	fangchou,fc
纺锤	fangchui,fc
纺锭	fangding,fd
纺机	fangji,fj
纺缉	fangji,fj
纺绩	fangji,fj
纺纑	fanglu,fl
纺轮	fanglun,fl
纺纱	fangsha,fs
纺手	fangshou,fs
纺丝	fangsi,fs
纺线	fangxian,fx
纺线娘	fangxianniang,fxn
纺织	fangzhi,fz
纺织厂	fangzhichang,fzc
纺织工业	fangzhigongye,fzgy
纺织娘	fangzhiniang,fzn
纺织品	fangzhipin,fzp
纺织物	fangzhiwu,fzw
纺织纤维	fangzhixianwei,fzxw
纺织者	fangzhizhe,fzz
纺砖	fangzhuan,fz
纺缁	fangzi,fz
