翕变	xibian,xb
翕歘	xixu,xx
翕定	xiding,xd
翕动	xidong,xd
翕飞	xifei,xf
翕伏	xifu,xf
翕服	xifu,xf
翕合	xihe,xh
翕赫	xihe,xh
翕侯	xihou,xh
翕忽	xihu,xh
翕曶	xihu,xh
翕霍	xihuo,xh
翕集	xiji,xj
翕肩	xijian,xj
翕聚	xiju,xj
翕敛	xilian,xl
翕拢	xilong,xl
翕辟	xipi,xp
翕骈	xipian,xp
翕然	xiran,xr
翕如	xiru,xr
翕散	xisan,xs
翕受	xishou,xs
翕趿	xita,xt
翕翕	xi,x
翕习	xi,x
翕赩	xi,x
翕呷	xixia,xx
翕响	xixiang,xx
翕协	xixie,xx
翕心	xixin,xx
翕焱	xiyan,xy
翕绎	xiyi,xy
翕熠	xiyi,xy
翕翼	xiyi,xy
翕应	xiying,xy
翕张	xizhang,xz
翕振	xizhen,xz
翕訿	xizi,xz
