售谤	shoubang,sb
售后	shouhou,sh
售后服务	shouhoufuwu,shfw
售汇	shouhui,sh
售货	shouhuo,sh
售货台	shouhuotai,sht
售货员	shouhuoyuan,shy
售迹	shouji,sj
售价	shoujia,sj
售奸	shoujian,sj
售卖	shoumai,sm
售票	shoupiao,sp
售票处	shoupiaochu,spc
售票大厅	shoupiaodating,spdt
售票口	shoupiaokou,spk
售票员	shoupiaoyuan,spy
售罄	shouqing,sq
售赇	shouqiu,sq
售世	shoushi,ss
售完	shouwan,sw
售完即止	shouwanjizhi,swjz
售用	shouyong,sy
售子	shouzi,sz
