垒壁	leibi,lb
垒壁陈	leibichen,lbc
垒壁阵	leibizhen,lbz
垒陈	leichen,lc
垒城	leicheng,lc
垒堆	leidui,ld
垒固	leigu,lg
垒和	leihe,lh
垒口	leikou,lk
垒块	leikuai,lk
垒浪	leilang,ll
垒垒	lei,l
垒门	leimen,lm
垒培	leipei,lp
垒七修斋	leiqixiuzhai,lqxz
垒七追斋	leiqizhuizhai,lqzz
垒砌	leiqi,lq
垒墙	leiqiang,lq
垒球	leiqiu,lq
垒舍	leishe,ls
垒石	leishi,ls
垒尉	leiwei,lw
垒栅	leishan,ls
垒障	leizhang,lz
