陕北	shanbei,sb
陕飞集团	shanfeijituan,sfjt
陕服	shanfu,sf
陕甘	shangan,sg
陕甘革命根据地	shangangeminggenjudi,sggmgjd
陕甘宁	shanganning,sgn
陕甘宁边区	shanganningbianqu,sgnbq
陕津	shanjin,sj
陕洛	shanluo,sl
陕南	shannan,sn
陕塞	shansai,ss
陕输	shanshu,ss
陕西	shanxi,sx
陕西大地震	shanxidadizhen,sxddz
陕西科技大学	shanxikejidaxue,sxkjdx
陕西省	shanxisheng,sxs
陕西师范大学	shanxishifandaxue,sxsfdx
陕县	shanxian,sx
