汲道	jidao,jd
汲短	jiduan,jd
汲坟	jifen,jf
汲绠	jigeng,jg
汲古	jigu,jg
汲古阁	jiguge,jgg
汲古阁本	jigugeben,jggb
汲汲	ji,j
汲汲波波	jibo,jb
汲汲顾影	jiguying,jgy
汲汲皇皇	jihuang,jh
汲汲遑遑	jihuang,jh
汲汲忙忙	jimang,jm
汲汲摇摇	jiyao,jy
汲汲营营	jiying,jy
汲汲孜孜	jizi,jz
汲集	ji,j
汲郡古文	jijunguwen,jjgw
汲路	jilu,jl
汲取	jiqu,jq
汲善	jishan,js
汲深	jishen,js
汲深绠短	jishengengduan,jsgd
汲水	jishui,js
汲县冢	jixianzhong,jxz
汲玄	jixuan,jx
汲扬	jiyang,jy
汲引	jiyin,jy
汲引忘疲	jiyinwangpi,jywp
汲援	jiyuan,jy
汲长	jichang,jc
汲直	jizhi,jz
汲冢	jizhong,jz
汲冢古文	jizhongguwen,jzgw
汲冢书	jizhongshu,jzs
汲冢周书	jizhongzhoushu,jzzs
