骞崩	qianbeng,qb
骞荡	qiandang,qd
骞短	qianduan,qd
骞谔	qiane,qe
骞飞	qianfei,qf
骞腹	qianfu,qf
骞翮	qianhe,qh
骞举	qianju,qj
骞林	qianlin,ql
骞扑	qianpu,qp
骞期	qianqi,qq
骞骞	qian,q
骞墙	qianqiang,qq
骞树	qianshu,qs
骞损	qiansun,qs
骞腾	qianteng,qt
骞抟	qiantuan,qt
骞污	qianwu,qw
骞舞	qianwu,qw
骞骧	qianxiang,qx
骞翔	qianxiang,qx
骞衣	qianyi,qy
骞越	qianyue,qy
骞翥	qianzhu,qz
