丢包	diubao,db
丢车保帅	diujubaoshuai,djbs
丢丑	diuchou,dc
丢搭	diuda,dd
丢撘	diuda,dd
丢答	diuda,dd
丢到家	diudaojia,ddj
丢掉	diudiao,dd
丢掉西瓜	diudiaoxigua,ddxg
丢窵	diudiao,dd
丢丁	diuding,dd
丢丢秀秀	diuxiu,dx
丢盹	diudun,dd
丢番	diufan,df
丢翻	diufan,df
丢饭碗	diufanwan,dfw
丢份	diufen,df
丢份儿	diufener,dfe
丢风撒脚	diufengsajiao,dfsj
丢卦	diugua,dg
丢官	diuguan,dg
丢荒	diuhuang,dh
丢魂	diuhun,dh
丢魂丢魄	diuhunpo,dhp
丢魂落魄	diuhunluopo,dhlp
丢魂丧胆	diuhunsangdan,dhsd
丢魂失魄	diuhunshipo,dhsp
丢尽脸面	diujinlianmian,djlm
丢开	diukai,dk
丢空	diukong,dk
丢盔抛甲	diukuipaojia,dkpj
丢盔弃甲	diukuiqijia,dkqj
丢盔卸甲	diukuixiejia,dkxj
丢了瓢	diulepiao,dlp
丢了西瓜	diulexigua,dlxg
丢脸	diulian,dl
丢脸地	diuliande,dld
丢灵	diuling,dl
丢溜	diuliu,dl
丢轮扯炮	diulunchepao,dlcp
丢落	diuluo,dl
丢帽落鞋	diumaoluoxie,dmlx
丢眉丢眼	diumeiyan,dmy
丢眉弄色	diumeinongse,dmns
丢面子	diumianzi,dmz
丢命	diuming,dm
丢抹	diumo,dm
丢那妈	diunama,dnm
丢撇	diupie,dp
丢弃	diuqi,dq
丢巧针	diuqiaozhen,dqz
丢却	diuque,dq
丢人	diuren,dr
丢人现眼	diurenxianyan,drxy
丢三拉四	diusanlasi,dsls
丢三落四	diusanlasi,dsls
丢三忘四	diusanwangsi,dsws
丢生	diusheng,ds
丢失	diushi,ds
丢手	diushou,ds
丢脱	diutuo,dt
丢乌纱帽	diuwushamao,dwsm
丢下	diuxia,dx
丢下钯儿弄扫帚	diuxiabaernongsaozhou,dxbensz
丢下耙儿弄扫帚	diuxiapaernongsaozhou,dxpensz
丢心	diuxin,dx
丢心落肠	diuxinluochang,dxlc
丢心落意	diuxinluoyi,dxly
丢眼	diuyan,dy
丢眼色	diuyanse,dys
丢针儿	diuzhener,dze
丢置	diuzhi,dz
丢卒保车	diuzubaoju,dzbj
