斑白	banbai,bb
斑斑	ban,b
斑背大尾莺	banbeidaweiying,bbdwy
斑背潜鸭	banbeiqianya,bbqy
斑背燕尾	banbeiyanwei,bbyw
斑背噪鹛	banbeizaomei,bbzm
斑鳖	banbie,bb
斑鬓	banbin,bb
斑剥	banbo,bb
斑驳	banbo,bb
斑驳陆离	banboluli,bbll
斑布	banbu,bb
斑彩	bancai,bc
斑苍	bancang,bc
斑翅凤头鹃	banchifengtoujuan,bcftj
斑翅椋鸟	banchiliangniao,bcln
斑翅鹩鹛	banchiliaomei,bclm
斑翅拟蜡嘴雀	banchinilazuique,bcnlzq
斑翅山鹑	banchishanchun,bcsc
斑翅朱雀	banchizhuque,bczq
斑道人	bandaoren,bdr
斑点	bandian,bd
斑点狗	bandiangou,bdg
斑鸫	bandong,bd
斑犊	bandu,bd
斑儿	baner,be
斑榖	bangu,bg
斑管	banguan,bg
斑海豹	banhaibao,bhb
斑海雀	banhaique,bhq
斑痕	banhen,bh
斑红	banhong,bh
斑喉希鹛	banhouximei,bhxm
斑篁	banhuang,bh
斑姬鹟	banjiweng,bjw
斑姬啄木鸟	banjizhuomuniao,bjzmn
斑罽	banji,bj
斑剑	banjian,bj
斑颈穗鹛	banjingsuimei,bjsm
斑鸠	banjiu,bj
斑块	bankuai,bk
斑兰	banlan,bl
斑阑	banlan,bl
斑谰	banlan,bl
斑斓	banlan,bl
斑狸	banli,bl
斑鳢	banli,bl
斑连	banlian,bl
斑脸海番鸭	banlianhaifanya,blhfy
斑椋鸟	banliangniao,bln
斑林	banlin,bl
斑璘	banlin,bl
斑羚	banling,bl
斑龙	banlong,bl
斑鹭	banlu,bl
斑马	banma,bm
斑马线	banmaxian,bmx
斑马鱼	banmayu,bmy
斑猫	banmao,bm
斑毛	banmao,bm
斑蝥	banmao,bm
斑密	banmi,bm
斑奴	bannu,bn
斑皤	banpo,bp
斑虬	banqiu,bq
斑然	banran,br
斑扇	banshan,bs
斑裳	banchang,bc
斑石	banshi,bs
斑首	banshou,bs
斑丝	bansi,bs
斑丝矟	bansishuo,bss
斑丝槊	bansishuo,bss
斑笋	bansun,bs
斑特处士	bantechushi,btcs
斑头大翠鸟	bantoudacuiniao,btdcn
斑头绿拟啄木鸟	bantoulunizhuomuniao,btlnzmn
斑头鸺鹠	bantouxiuliu,btxl
斑头雁	bantouyan,bty
斑秃	bantu,bt
斑尾	banwei,bw
斑尾塍鹬	banweichengyu,bwcy
斑尾鹃鸠	banweijuanjiu,bwjj
斑尾林鸽	banweilinge,bwlg
斑尾榛鸡	banweizhenji,bwzj
斑文	banwen,bw
斑文鸟	banwenniao,bwn
斑纹	banwen,bw
斑鹟	banweng,bw
斑污	banwu,bw
斑犀	banxi,bx
斑瑕	banxia,bx
斑胁姬鹛	banxiejimei,bxjm
斑胁田鸡	banxietianji,bxtj
斑胸滨鹬	banxiongbinyu,bxby
斑胸短翅莺	banxiongduanchiying,bxdcy
斑胸钩嘴鹛	banxionggouzuimei,bxgzm
斑胸田鸡	banxiongtianji,bxtj
斑胸噪鹛	banxiongzaomei,bxzm
斑岩	banyan,by
斑腰燕	banyaoyan,byy
斑衣	banyi,by
斑衣戏彩	banyixicai,byxc
斑寅将军	banyinjiangjun,byjj
斑鱼	banyu,by
斑鱼狗	banyugou,byg
斑筠	banyun,by
斑杖	banzhang,bz
斑鹧	banzhe,bz
斑疹	banzhen,bz
斑疹热	banzhenre,bzr
斑疹伤寒	banzhenshanghan,bzsh
斑枝花	banzhihua,bzh
斑指	banzhi,bz
斑珠藤	banzhuteng,bzt
斑竹	banzhu,bz
斑竹帙	banzhuzhi,bzz
斑隹	banzhui,bz
斑骓	banzhui,bz
斑子	banzi,bz
斑嘴鹈鹕	banzuitihu,bzth
斑嘴鸭	banzuiya,bzy
