十阿父	shiafu,saf
十拗	shiniu,sn
十八	shiba,sb
十八般	shibaban,sbb
十八般兵器	shibabanbingqi,sbbbq
十八般武艺	shibabanwuyi,sbbwy
十八变	shibabian,sbb
十八层地	shibacengde,sbcd
十八层地狱	shibacengdiyu,sbcdy
十八地狱	shibadiyu,sbdy
十八埊狱	shibadiyu,sbdy
十八房	shibafang,sbf
十八高贤	shibagaoxian,sbgx
十八公	shibagong,sbg
十八侯	shibahou,sbh
十八界	shibajie,sbj
十八九	shibajiu,sbj
十八开	shibakai,sbk
十八路	shibalu,sbl
十八罗汉	shibaluohan,sblh
十八娘	shibaniang,sbn
十八省	shibasheng,sbs
十八世	shiba,sb
十八事	shiba,sb
十八滩	shibatan,sbt
十八贤	shibaxian,sbx
十八学士	shibaxue,sbx
十八姨	shibayi,sby
十八狱	shibayu,sby
十八重地狱	shibazhongdiyu,sbzdy
十八子	shibazi,sbz
十八子儿	shibazier,sbze
十败	shibai,sb
十半	shiban,sb
十保扶	shibaofu,sbf
十倍	shibei,sb
十倍地	shibeide,sbd
十辈	shibei,sb
十边形	shibianxing,sbx
十变五化	shibianwuhua,sbwh
十病九痛	shibingjiutong,sbjt
十伯	shibo,sb
十不	shibu,sb
十不当一	shibudangyi,sbdy
十不闲	shibuxian,sbx
十不闲儿	shibuxianer,sbxe
十不闲莲花落	shibuxianlianhualao,sbxlhl
十布	shibu,sb
十步芳草	shibufangcao,sbfc
十步九回头	shibujiuhuitou,sbjht
十步香草	shibuxiangcao,sbxc
十步香车	shibuxiangche,sbxc
十步之内	shibuzhinei,sbzn
十部	shibu,sb
十部从事	shibucong,sbc
十部乐	shibule,sbl
十才子	shicaizi,scz
十常侍	shichang,sc
十成	shicheng,sc
十成九稳	shichengjiuwen,scjw
十传百	shichuanbai,scb
十大弟子	shidadizi,sddz
十大洞天	shidadongtian,sddt
十大家	shidajia,sdj
十大曲	shidaqu,sdq
十大神兽	shidashenshou,sdss
十代冥王	shidaimingwang,sdmw
十荡十决	shidangjue,sdj
十道	shidao,sd
十德	shide,sd
十地	shidi,sd
十滴水	shidishui,sds
十帝	shidi,sd
十殿	shidian,sd
十殿阎王	shidianyanwang,sdyw
