掘笔	juebi,jb
掘藏	juecang,jc
掘出	juechu,jc
掘发	juefa,jf
掘蛊	juegu,jg
掘窖	juejiao,jj
掘进	juejin,jj
掘井及泉	juejingjiquan,jjjq
掘客	jueke,jk
掘门	juemen,jm
掘墓	juemu,jm
掘墓鞭尸	juemubianshi,jmbs
掘墓工人	juemugongren,jmgr
掘墓人	juemuren,jmr
掘起	jueqi,jq
掘强	juejiang,jj
掘取	juequ,jq
掘室求鼠	jueshiqiushu,jsqs
掘头船	juetouchuan,jtc
掘土机	juetuji,jtj
掘尾	juewei,jw
掘穴	juexue,jx
掘阅	jueyue,jy
掘柘词	juezheci,jzc
掘柘枝	juezhezhi,jzz
掘子军	juezijun,jzj
