梢靶	shaoba,sb
梢袋	shaodai,sd
梢当	shaodang,sd
梢儿	shaoer,se
梢工	shaogong,sg
梢公	shaogong,sg
梢沟	shaogou,sg
梢瓜	shaogua,sg
梢间	shaojian,sj
梢空	shaokong,sk
梢梁	shaoliang,sl
梢林	shaolin,sl
梢骡	shaoluo,sl
梢马	shaoma,sm
梢门	shaomen,sm
梢泊	shaobo,sb
梢婆	shaopo,sp
梢槭	shaoqi,sq
梢人	shaoren,sr
梢杀	shaosha,ss
梢芟	shaoshan,ss
梢梢	shao,s
梢书	shaoshu,ss
梢天	shaotian,st
梢条	shaotiao,st
梢桶	shaotong,st
梢头	shaotou,st
梢尾	shaowei,sw
梢信	shaoxin,sx
梢摇	shaoyao,sy
梢云	shaoyun,sy
梢长	shaochang,sc
梢子	shaozi,sz
