矢不虚发	shibuxufa,sbxf
矢车菊	shicheju,scj
矢词	shici,sc
矢辞	shici,sc
矢道	shidao,sd
矢镝	shidi,sd
矢房	shifang,sf
矢锋	shifeng,sf
矢夫	shifu,sf
矢服	shifu,sf
矢箙	shifu,sf
矢干	shigan,sg
矢槀	shigao,sg
矢秽	shihui,sh
矢激则远	shijizeyuan,sjzy
矢尽兵穷	shijinbingqiong,sjbq
矢橛	shijue,sj
矢口	shikou,sk
矢口猖言	shikouchangyan,skcy
矢口抵赖	shikoudilai,skdl
矢口否认	shikoufouren,skfr
矢口狡赖	shikoujiaolai,skjl
矢旝	shikuai,sk
矢力同心	shilitongxin,sltx
矢量	shiliang,sl
矢盟	shimeng,sm
矢命	shiming,sm
矢棋	shiqi,sq
矢人	shiren,sr
矢刃	shiren,sr
矢日	shiri,sr
矢如雨下	shiruyuxia,sryx
矢施	shi,s
矢石	shi,s
矢石之难	shizhinan,szn
矢室	shi,s
矢誓	shi,s
矢书	shishu,ss
矢死	shisi,ss
矢死不二	shisibuer,ssbe
矢死无贰	shisiwuer,sswe
矢无虚发	shiwuxufa,swxf
矢心	shixin,sx
矢心不二	shixinbuer,sxbe
矢言	shiyan,sy
矢液	shiye,sy
矢鱼	shiyu,sy
矢愿	shiyuan,sy
矢跃	shiyue,sy
矢在弦上	shizaixianshang,szxs
矢志	shizhi,sz
矢志不摇	shizhibuyao,szby
矢志不移	shizhibuyi,szby
矢志不渝	shizhibuyu,szby
矢忠	shizhong,sz
矢忠不二	shizhongbuer,szbe
矢镞	shizu,sz
