弭谤	mibang,mb
弭变	mibian,mb
弭兵	mibing,mb
弭彻	miche,mc
弭除	michu,mc
弭从	micong,mc
弭定	miding,md
弭耳	mier,me
弭伏	mifu,mf
弭服	mifu,mf
弭盖	migai,mg
弭合	mihe,mh
弭患	mihuan,mh
弭戢	miji,mj
弭楫	miji,mj
弭檝	miji,mj
弭节	mijie,mj
弭口	mikou,mk
弭乱	miluan,ml
弭毛	mimao,mm
弭髦	mimao,mm
弭难	minan,mn
弭宁	mining,mn
弭佩	mipei,mp
弭辔	mipei,mp
弭禳	mirang,mr
弭散	misan,ms
弭首	mishou,ms
弭帖	mitie,mt
弭头	mitou,mt
弭忘	miwang,mw
弭息	mixi,mx
弭锡	mixi,mx
弭翼	miyi,my
弭灾	mizai,mz
弭棹	mizhao,mz
弭辙	mizhe,mz
