式度	shidu,sd
式遏	shie,se
式法	shifa,sf
式灋	shifa,sf
式范	shifan,sf
式干	shigan,sg
式谷	shigu,sg
式规	shigui,sg
式好	shihao,sh
式假	shijia,sj
式廓	shikuo,sk
式庐	shilu,sl
式闾	shilu,sl
式墓	shimu,sm
式盘	shipan,sp
式凭	shiping,sp
式凴	shiping,sp
式式	shi,s
式望	shiwang,sw
式微	shiwei,sw
式围	shiwei,sw
式闻	shiwen,sw
式型	shixing,sx
式序	shixu,sx
式叙	shixu,sx
式宴	shiyan,sy
式燕	shiyan,sy
式仰	shiyang,sy
式样	shiyang,sy
式则	shize,sz
式瞻	shizhan,sz
式昭	shizhao,sz
式子	shizi,sz
