嗜好	shihao,sh
嗜痂成癖	shijiachengpi,sjcp
嗜痂之癖	shijiazhipi,sjzp
嗜碱性粒细胞	shijianxinglixibao,sjxlxb
嗜碱性球	shijianxingqiu,sjxq
嗜酒	shijiu,sj
嗜酒如命	shijiuruming,sjrm
嗜杀成性	shishachengxing,sscx
嗜杀地	shishade,ssd
嗜睡症	shishuizheng,ssz
嗜酸乳杆菌	shisuanruganjun,ssrgj
嗜酸性粒细胞	shisuanxinglixibao,ssxlxb
嗜酸性球	shisuanxingqiu,ssxq
嗜血	shixue,sx
嗜血杆菌	shixueganjun,sxgj
嗜欲	shiyu,sy
