兵败如山倒	bingbairushandao,bbrsd
兵暴	bingbao,bb
兵备道	bingbeidao,bbd
兵弁	bingbian,bb
兵变	bingbian,bb
兵柄	bing,b
兵不接刃	bingbujieren,bbjr
兵不污刃	bingbuwuren,bbwr
兵不雪刃	bingbuxueren,bbxr
兵不血刃	bingbuxueren,bbxr
兵不厌权	bingbuyanquan,bbyq
兵不厌诈	bingbuyanzha,bbyz
兵不由将	bingbuyoujiang,bbyj
兵部	bingbu,bb
兵簿	bingbu,bb
兵藏武库	bingcangwuku,bcwk
兵操	bingcao,bc
兵曹	bingcao,bc
兵曹鸟	bingcaoniao,bcn
兵差	bingchai,bc
兵场	bingchang,bc
兵车	bingche,bc
兵车行	bingchexing,bcx
兵车之会	bingchezhihui,bczh
兵车之属	bingchezhishu,bczs
兵尘	bingchen,bc
兵陈	bingchen,bc
兵冲	bingchong,bc
兵筹	bingchou,bc
兵出无名	bingchuwuming,bcwm
兵厨	bingchu,bc
兵储	bingchu,bc
兵船	bingchuan,bc
兵刀	bingdao,bd
兵道	bingdao,bd
兵丁	bingding,bd
兵端	bingduan,bd
兵队	bingdui,bd
兵多将广	bingduojiangguang,bdjg
兵多者败	bingduozhebai,bdzb
兵额	binge,be
兵厄	binge,be
兵法	bingfa,bf
兵防	bingfang,bf
兵房	bingfang,bf
兵匪	bingfei,bf
兵费	bingfei,bf
兵锋	bingfeng,bf
兵符	bingfu,bf
兵府	bingfu,bf
兵戈	bingge,bg
兵戈扰攘	binggeraorang,bgrr
兵革	bingge,bg
兵工	binggong,bg
兵工厂	binggongchang,bgc
兵官	bingguan,bg
兵贵神速	bingguishensu,bgss
兵贵先声	bingguixiansheng,bgxs
兵号	binghao,bh
兵堠	binghou,bh
兵哗	binghua,bh
兵荒	binghuang,bh
兵荒马乱	binghuangmaluan,bhml
兵慌马乱	binghuangmaluan,bhml
兵毁	binghui,bh
兵火	binghuo,bh
兵祸	binghuo,bh
兵饥	bingji,bj
兵机	bingji,bj
兵级	bingji,bj
兵籍	bingji,bj
兵戟	bingji,bj
兵纪	bingji,bj
兵忌	bingji,bj
兵祭	bingji,bj
兵家	bingjia,bj
兵家常事	bingjiachangshi,bjcs
兵甲	bingjia,bj
兵舰	bingjian,bj
兵谏	bingjian,bj
兵将	bingjiang,bj
兵匠	bingjiang,bj
兵交	bingjiao,bj
兵劫	bingjie,bj
兵解	bingjie,bj
兵烬	bingjin,bj
兵经	bingjing,bj
兵精粮足	bingjingliangzu,bjlz
兵警	bingjing,bj
兵具	bingju,bj
兵寇	bingkou,bk
兵库	bingku,bk
兵库县	bingkuxian,bkx
兵快	bingkuai,bk
兵来将挡	binglaijiangdang,bljd
兵来将敌	binglaijiangdi,bljd
兵来将迎	binglaijiangying,bljy
兵兰	binglan,bl
兵栏	binglan,bl
兵阑	binglan,bl
兵棱	bingleng,bl
兵力	bingli,bl
兵利	bingli,bl
兵隶	bingli,bl
兵连祸接	binglianhuojie,blhj
兵连祸结	binglianhuojie,blhj
兵粮	bingliang,bl
兵临城下	binglinchengxia,blcx
兵旅	binglu,bl
兵律	binglu,bl
兵乱	bingluan,bl
兵略	binglue,bl
兵轮	binglun,bl
兵马	bingma,bm
兵马不动	bingmabudong,bmbd
兵马籍	bingmaji,bmj
兵马司	bingmasi,bms
兵马未动	bingmaweidong,bmwd
兵马俑	bingmayong,bmy
兵盟	bingmeng,bm
兵民	bingmin,bm
