卸鞍	xiean,xa
卸包袱	xiebaofu,xbf
卸车	xieche,xc
卸除	xiechu,xc
卸袋	xiedai,xd
卸顶	xieding,xd
卸帆	xiefan,xf
卸过	xieguo,xg
卸货	xiehuo,xh
卸甲钱	xiejiaqian,xjq
卸肩	xiejian,xj
卸肩儿	xiejianer,xje
卸脚	xiejiao,xj
卸扣	xiekou,xk
卸磨杀驴	xiemoshalu,xmsl
卸任	xieren,xr
卸套	xietao,xt
卸头	xietou,xt
卸席	xiexi,xx
卸下	xiexia,xx
卸压	xieya,xy
卸载	xiezai,xz
卸责	xieze,xz
卸职	xiezhi,xz
卸篆	xiezhuan,xz
卸妆	xiezhuang,xz
卸装	xiezhuang,xz
