皎白	jiaobai,jb
皎察	jiaocha,jc
皎蟾	jiaochan,jc
皎澈	jiaoche,jc
皎澄	jiaocheng,jc
皎皎	jiao,j
皎皎者易污	jiaozheyiwu,jzyw
皎洁	jiaojie,jj
皎晶	jiaojing,jj
皎晶晶	jiaojing,jj
皎镜	jiaojing,jj
皎厉	jiaoli,jl
皎亮	jiaoliang,jl
皎然	jiaoran,jr
皎日	jiaori,jr
皎如日星	jiaorurixing,jrrx
皎爽	jiaoshuang,js
皎皛	jiao,j
皎雪骢	jiaoxuecong,jxc
皎阳似火	jiaoyangshihuo,jysh
皎月	jiaoyue,jy
皎质	jiaozhi,jz
皎茁	jiaozhuo,jz
