叉巴子	chabazi,cbz
叉车	chache,cc
叉锄	chachu,cc
叉蔟	chacu,cc
叉袋	chadai,cd
叉道	chadao,cd
叉儿	chaer,ce
叉杆	chagan,cg
叉竿	chagan,cg
叉港	chagang,cg
叉簧	chahuang,ch
叉灰	chahui,ch
叉积	chaji,cj
叉架	chajia,cj
叉开	chakai,ck
叉开双腿	chakaishuangtui,ckst
叉口	chakou,ck
叉路	chalu,cl
叉麻雀	chamaque,cmq
叉圈	chaquan,cq
叉烧	chashao,cs
叉烧包	chashaobao,csb
叉烧肉	chashaorou,csr
叉勺	chashao,cs
叉手	chashou,cs
叉手叉脚	chashoujiao,csj
叉手笛	chashoudi,csd
叉手管	chashouguan,csg
叉手髻	chashouji,csj
叉手铁龙	chashoutielong,cstl
叉头	chatou,ct
叉尾鸥	chaweiou,cwo
叉尾太阳鸟	chaweitaiyangniao,cwtyn
叉形	chaxing,cx
叉牙	chaya,cy
叉腰	chayao,cy
叉鱼	chayu,cy
叉子	chazi,cz
叉嘴	chazui,cz
