衣摆	yibai,yb
衣包	yibao,yb
衣胞	yibao,yb
衣褒带博	yibaodaibo,ybdb
衣被	yipi,yp
衣被群生	yibeiqunsheng,ybqs
衣敝履空	yibilukong,yblk
衣弊履穿	yibiluchuan,yblc
衣禀	yibing,yb
衣盋	yibo,yb
衣钵	yibo,yb
衣钵相传	yiboxiangchuan,ybxc
衣缽	yibo,yb
衣补	yibu,yb
衣不蔽体	yibubiti,ybbt
衣不兼采	yibujiancai,ybjc
衣不兼彩	yibujiancai,ybjc
衣不解带	yibujiedai,ybjd
衣不完采	yibuwancai,ybwc
衣不曳地	yibuyedi,ybyd
衣不遮身	yibuzheshen,ybzs
衣不遮体	yibuzheti,ybzt
衣不重帛	yibuzhongbo,ybzb
衣不重采	yibuzhongcai,ybzc
衣不重彩	yibuzhongcai,ybzc
衣彩	yicai,yc
衣岔	yicha,yc
衣车	yiche,yc
衣橱	yichu,yc
衣带	yidai,yd
衣带书	yidaishu,yds
衣带水	yidaishui,yds
衣带一江	yidaijiang,ydj
衣带诏	yidaizhao,ydz
衣袋	yidai,yd
衣单	yidan,yd
衣单食薄	yidanshibo,ydsb
衣顶	yiding,yd
衣兜	yidou,yd
衣蛾	yie,ye
衣饭碗	yifanwan,yfw
衣分	yifen,yf
衣服	yifu,yf
衣服缝边	yifufengbian,yffb
衣幞	yifu,yf
衣襆	yipu,yp
衣覆	yifu,yf
衣格	yige,yg
衣裓	yijie,yj
衣工	yigong,yg
衣钩	yigou,yg
衣钩儿	yigouer,yge
衣篝	yigou,yg
衣冠	yiguan,yg
衣冠楚楚	yiguanchu,ygc
衣冠济楚	yiguanjichu,ygjc
衣冠济济	yiguanji,ygj
衣冠客	yiguanke,ygk
衣冠礼乐	yiguanlile,ygll
衣冠墓	yiguanmu,ygm
衣冠南渡	yiguannandu,ygnd
衣冠齐楚	yiguanqichu,ygqc
衣冠禽兽	yiguanqinshou,ygqs
衣冠扫地	yiguansaodi,ygsd
衣冠盛事	yiguanshengshi,ygss
衣冠土枭	yiguantuxiao,ygtx
衣冠文物	yiguanwenwu,ygww
衣冠枭獍	yiguanxiaojing,ygxj
衣冠优孟	yiguanyoumeng,ygym
衣冠冢	yiguanzhong,ygz
衣圭	yigui,yg
衣柜	yigui,yg
衣褐	yihe,yh
衣桁	yiheng,yh
衣后穿	yihouchuan,yhc
衣狐坐熊	yihuzuoxiong,yhzx
衣黄人	yihuangren,yhr
衣火光	yihuoguang,yhg
衣襋	yiji,yj
衣夹	yijia,yj
衣甲	yijia,yj
衣架	yijia,yj
衣架饭袋	yijiafandai,yjfd
衣架饭囊	yijiafannang,yjfn
衣角	yijiao,yj
衣巾	yijin,yj
衣衿	yijin,yj
衣襟	yijin,yj
衣锦	yijin,yj
衣锦过乡	yijinguoxiang,yjgx
衣锦还乡	yijinhuanxiang,yjhx
衣锦褧衣	yijinjiong,yjj
衣锦荣归	yijinronggui,yjrg
衣锦尚絅	yijinshangjiong,yjsj
衣锦食肉	yijinshirou,yjsr
衣锦夜行	yijinyexing,yjyx
衣锦夜游	yijinyeyou,yjyy
衣锦昼行	yijinzhouxing,yjzx
衣锦昼游	yijinzhouyou,yjzy
衣褧	yijiong,yj
衣裾	yiju,yj
衣屩蓝缕	yijuelanlu,yjll
衣靠	yikao,yk
衣褃	yiken,yk
衣扣	yikou,yk
衣库	yiku,yk
衣裤	yiku,yk
衣宽带松	yikuandaisong,ykds
衣来伸手	yilaishenshou,ylss
衣棱	yileng,yl
衣奁	yilian,yl
衣匳	yilian,yl
衣料	yiliao,yl
衣廪	yilin,yl
衣领	yiling,yl
衣禄	yilu,yl
衣禄食禄	yilushi,yls
衣履	yilu,yl
衣马	yima,ym
衣马轻肥	yimaqingfei,ymqf
衣帽间	yimaojian,ymj
衣貌	yimao,ym
衣袂	yimei,ym
衣冕	yimian,ym
衣囊	yinang,yn
衣纽	yiniu,yn
衣牌	yipai,yp
衣袍	yipao,yp
衣帢	yiqia,yq
衣箧	yiqie,yq
衣衾	yiqin,yq
衣轻乘肥	yiqingchengfei,yqcf
衣裘	yiqiu,yq
衣袪	yiqu,yq
衣取蔽寒	yiqubihan,yqbh
衣裙	yiqun,yq
衣衽	yiren,yr
衣袽之戒	yiruzhijie,yrzj
衣襂	yishan,ys
衣衫	yishan,ys
