始初	shichu,sc
始创	shichuang,sc
始春	shichun,sc
始点	shidian,sd
始端	shiduan,sd
始而	shier,se
始发	shifa,sf
始发站	shifazhan,sfz
始冠	shiguan,sg
始孩	shihai,sh
始黄	shihuang,sh
始笄	shiji,sj
始间	shijian,sj
始建	shijian,sj
始鸠	shijiu,sj
始立	shili,sl
始料	shiliao,sl
始料不及	shiliaobuji,slbj
始料未及	shiliaoweiji,slwj
始乱终弃	shiluanzhongqi,slzq
始马	shima,sm
始末	shimo,sm
始末原由	shimoyuanyou,smyy
始末缘由	shimoyuanyou,smyy
始年	shinian,sn
始迁祖	shiqianzu,sqz
始室	shi,s
始新纪	shixinji,sxj
始新世	shixin,sx
始新统	shixintong,sxt
始兴	shixing,sx
始兴县	shixingxian,sxx
始业	shiye,sy
始业式	shiye,sy
始影	shiying,sy
始于足下	shiyuzuxia,syzx
始愿	shiyuan,sy
始愿不及此	shiyuanbujici,sybjc
始终	shizhong,sz
始终不懈	shizhongbuxie,szbx
始终不易	shizhongbuyi,szby
始终不渝	shizhongbuyu,szby
始终如一	shizhongruyi,szry
始终若一	shizhongruoyi,szry
始卒	shizu,sz
始祖	shizu,sz
始祖鸟	shizuniao,szn
始作俑者	shizuoyongzhe,szyz
