踊昂	yongang,ya
踊躃	yongbi,yb
踊躄	yongbi,yb
踊抃	yongbian,yb
踊发	yongfa,yf
踊贵	yonggui,yg
踊骇	yonghai,yh
踊距	yongju,yj
踊屦	yongju,yj
踊绝	yongjue,yj
踊擗	yongpi,yp
踊甓	yongpi,yp
踊跂	yongqi,yq
踊身	yongshen,ys
踊塔	yongta,yt
踊腾	yongteng,yt
踊跳	yongtiao,yt
踊现	yongxian,yx
踊冶	yongye,yy
踊移	yongyi,yy
踊逸	yongyi,yy
踊溢	yongyi,yy
踊悦	yongyue,yy
踊跃	yongyue,yy
