炸刺	zhaci,zc
炸大	zhada,zd
炸弹	zhadan,zd
炸弹坑	zhadankeng,zdk
炸弹之父	zhadanzhifu,zdzf
炸弹之母	zhadanzhimu,zdzm
炸点	zhadian,zd
炸掉	zhadiao,zd
炸糕	zhagao,zg
炸供	zhagong,zg
炸锅	zhaguo,zg
炸呼	zhahu,zh
炸毁	zhahui,zh
炸鸡	zhaji,zj
炸鸡蛋	zhajidan,zjd
炸酱	zhajiang,zj
炸酱面	zhajiangmian,zjm
炸坑	zhakeng,zk
炸垮	zhakua,zk
炸雷	zhalei,zl
炸两	zhaliang,zl
炸裂	zhalie,zl
炸裂弹	zhaliedan,zld
炸馏	zhaliu,zl
炸垄	zhalong,zl
炸毛	zhamao,zm
炸烹大虾	zhapengdaxia,zpdx
炸破	zhapo,zp
炸群	zhaqun,zq
炸肉丸子	zharouwanzi,zrwz
炸腮	zhasai,zs
炸市	zhashi,zs
炸薯片	zhashupian,zsp
炸薯球	zhashuqiu,zsq
炸薯条	zhashutiao,zst
炸死	zhasi,zs
炸碎	zhasui,zs
炸土豆片	zhatudoupian,ztdp
炸土豆条	zhatudoutiao,ztdt
炸土豆条儿	zhatudoutiaoer,ztdte
炸丸	zhawan,zw
炸丸子	zhawanzi,zwz
炸窝	zhawo,zw
炸虾	zhaxia,zx
炸响	zhaxiang,zx
炸牙	zhaya,zy
炸眼	zhayan,zy
炸药	zhayao,zy
炸药包	zhayaobao,zyb
炸营	zhaying,zy
炸油饼	zhayoubing,zyb
炸油条	zhayoutiao,zyt
炸鱼	zhayu,zy
炸元宵	zhayuanxiao,zyx
炸子	zhazi,zz
炸子鸡	zhaziji,zzj
