斗鹌鹑	douanchun,dac
斗盎	douang,da
斗八	douba,db
斗拔	douba,db
斗百草	doubaicao,dbc
斗班	douban,db
斗暴	doubao,db
斗笔	doubi,db
斗变	doubian,db
斗辨	doubian,db
斗辩	doubian,db
斗杓	doushao,ds
斗别气	doubieqi,dbq
斗兵	doubing,db
斗柄	doubing,db
斗袚	doubo,db
斗才	doucai,dc
斗彩	doucai,dc
斗艸	doucao,dc
斗草	doucao,dc
斗茶	doucha,dc
斗婵娟	douchanjuan,dcj
斗躔	douchan,dc
斗场	douchang,dc
斗炒	douchao,dc
斗车	douche,dc
斗臣	douchen,dc
斗称	doucheng,dc
斗城	doucheng,dc
斗骋	doucheng,dc
斗齿牙	douchiya,dcy
斗虫	douchong,dc
斗宠	douchong,dc
斗储	douchu,dc
斗触	douchu,dc
斗船	douchuan,dc
斗唇合舌	douchunheshe,dchs
斗辞	douci,dc
斗凑	doucou,dc
斗促织	doucuzhi,dcz
斗打	douda,dd
斗大	douda,dd
斗胆	doudan,dd
斗地主	doudizhu,ddz
斗磴	doudeng,dd
斗敌	doudi,dd
斗店	doudian,dd
斗钿	doudian,dd
斗迭	doudie,dd
斗谍	doudie,dd
斗喋	doudie,dd
斗叠	doudie,dd
斗钉	douding,dd
斗饤	douding,dd
斗赌	doudu,dd
斗队	doudui,dd
斗顿	doudun,dd
斗夺	douduo,dd
斗鹅	doue,de
斗而铸兵	douerzhubing,dezb
斗而铸锥	douerzhuzhui,dezz
斗法	doufa,df
斗方	doufang,df
斗方名士	doufangmingshi,dfms
斗芳	doufang,df
斗分	doufen,df
斗分子	doufenzi,dfz
斗纷	doufen,df
斗份子	doufenzi,dfz
斗风	doufeng,df
斗缝	doufeng,df
斗夫	doufu,df
斗府	doufu,df
斗富	doufu,df
斗盖	dougai,dg
斗柑	dougan,dg
斗刚	dougang,dg
斗纲	dougang,dg
斗歌	douge,dg
斗格	douge,dg
斗攻	dougong,dg
斗宫	dougong,dg
斗拱	dougong,dg
斗栱	dougong,dg
斗构	dougou,dg
斗姑娘	douguniang,dgn
斗怪争奇	douguaizhengqi,dgzq
斗耗	douhao,dh
斗合	douhe,dh
斗很	douhen,dh
斗狠	douhen,dh
斗衡	douheng,dh
斗哄	douhong,dh
斗斛	douhu,dh
斗花	douhua,dh
斗回	douhui,dh
斗混江	douhunjiang,dhj
斗火	douhuo,dh
斗伙	douhuo,dh
斗击	douji,dj
斗机	douji,dj
斗鸡	douji,dj
斗鸡台	doujitai,djt
斗鸡戏	doujixi,djx
斗鸡眼	doujiyan,djy
斗鸡养狗	doujiyanggou,djyg
斗鸡走狗	doujizougou,djzg
斗鸡走马	doujizouma,djzm
斗鸡走犬	doujizouquan,djzq
斗箕	douji,dj
斗级	douji,dj
斗极	douji,dj
斗煎	doujian,dj
斗检	doujian,dj
斗检封	doujianfeng,djf
斗建	doujian,dj
斗健	doujian,dj
斗舰	doujian,dj
斗将	doujiang,dj
斗角	doujiao,dj
斗脚	doujiao,dj
斗捷	doujie,dj
