雷阿尔城	leiaercheng,laec
雷岸	leian,la
雷板	leiban,lb
雷谤	leibang,lb
雷雹	leibao,lb
雷暴	leibao,lb
雷奔	leiben,lb
雷奔云谲	leibenyunjue,lbyj
雷渀	leiben,lb
雷抃	leibian,lb
雷变	leibian,lb
雷波	leibo,lb
雷波县	leiboxian,lbx
雷布	leibu,lb
雷部	leibu,lb
雷场	leichang,lc
雷车	leiche,lc
雷嗔电怒	leichendiannu,lcdn
雷陈	leichen,lc
雷池	leichi,lc
雷驰	leichi,lc
雷出	leichu,lc
雷船	leichuan,lc
雷达	leida,ld
雷达兵	leidabing,ldb
雷达天线	leidatianxian,ldtx
雷达站	leidazhan,ldz
雷打不动	leidabudong,ldbd
雷大使	leidashi,lds
雷大雨小	leidayuxiao,ldyx
雷德	leide,ld
雷地	leidi,ld
雷电	leidian,ld
雷电计	leidianji,ldj
雷电计图	leidianjitu,ldjt
雷电交加	leidianjiaojia,ldjj
雷淀	leidian,ld
雷动	leidong,ld
雷动风行	leidongfengxing,ldfx
雷堆	leidui,ld
雷恩	leien,le
雷奋	leifen,lf
雷风	leifeng,lf
雷封	leifeng,lf
雷峯	leifeng,lf
雷峯塔	leifengta,lft
雷峯夕照	leifengxizhao,lfxz
雷峰	leifeng,lf
雷峰塔	leifengta,lft
雷峰夕照	leifengxizhao,lfxz
雷锋	leifeng,lf
雷斧	leifu,lf
雷赴	leifu,lf
雷盖	leigai,lg
雷根	leigen,lg
雷公	leigong,lg
雷公打豆腐	leigongdadoufu,lgddf
雷公墨	leigongmo,lgm
雷公琴	leigongqin,lgq
雷汞	leigong,lg
雷骨	leigu,lg
雷毂	leigu,lg
雷鼓	leigu,lg
雷皷	leigu,lg
雷管	leiguan,lg
雷光	leiguang,lg
雷鬼	leigui,lg
雷辊	leigun,lg
雷害	leihai,lh
雷轰	leihong,lh
雷轰荐福碑	leihongjianfubei,lhjfb
雷訇	leihong,lh
雷鍧	leihong,lh
雷呼	leihu,lh
雷焕留剑	leihuanliujian,lhlj
雷火	leihuo,lh
雷火车	leihuoche,lhc
雷火签儿	leihuoqianer,lhqe
雷击	leiji,lj
雷殛	leiji,lj
雷荚	leijia,lj
雷解	leijie,lj
雷巾	leijin,lj
雷惊电绕	leijingdianrao,ljdr
雷惊蕈	leijingxun,ljx
雷精	leijing,lj
雷居士	leijushi,ljs
雷菌	leijun,lj
雷开	leikai,lk
雷克萨斯	leikesasi,lkss
雷克斯	leikesi,lks
雷克斯暴龙	leikesibaolong,lksbl
雷克雅维克	leikeyawei,lkyw
雷克雅未克	leikeyawei,lkyw
雷硠	leilang,ll
雷朗	leilang,ll
雷朗族	leilangzu,llz
雷雷	lei,l
雷厉	leili,ll
雷厉风飞	leilifengfei,llff
雷厉风行	leilifengxing,llfx
雷令	leiling,ll
雷令风行	leilingfengxing,llfx
雷令剑	leilingjian,llj
雷龙	leilong,ll
雷轮	leilun,ll
雷曼	leiman,lm
雷曼兄弟	leimanxiongdi,lmxd
雷门	leimen,lm
雷门鹤	leimenhe,lmh
雷蒙德	leimengde,lmd
雷米封	leimifeng,lmf
雷鸣	leiming,lm
雷鸣瓦釜	leimingwafu,lmwf
雷墨	leimo,lm
雷姆斯汀	leimusiting,lmst
雷鸟	leiniao,ln
雷诺	leinuo,ln
雷诺阿	leinuoa,lna
雷诺数	leinuoshu,lns
雷咆	leipao,lp
雷蜞	leiqi,lq
雷起	leiqi,lq
雷气	leiqi,lq
雷琴	leiqin,lq
雷区	leiqu,lq
雷泉	leiquan,lq
雷然	leiran,lr
雷人	leiren,lr
雷日纳	leirina,lrn
雷山	leishan,ls
雷山县	leishanxian,lsx
雷闪	leishan,ls
雷觞	leishang,ls
雷射	leishe,ls
雷射笔	leishebi,lsb
雷神	leishen,ls
雷神公司	leishengongsi,lsgs
雷神之锤	leishenzhichui,lszc
雷声	leisheng,ls
雷声大	leishengda,lsd
雷师	leishi,ls
雷矢	leishi,ls
雷氏剑	leishijian,lsj
雷氏琴	leishiqin,lsq
雷市	leishi,ls
雷室	leishi,ls
雷逝	leishi,ls
雷首	leishou,ls
雷兽	leishou,ls
雷司令	leisiling,lsl
雷苏	leisu,ls
雷酸汞	leisuangong,lsg
雷坛	leitan,lt
雷叹	leitan,lt
