胆包身体	danbaoshenti,dbst
胆薄	danbo,db
胆层地	dancengde,dcd
胆颤心惊	danchanxinjing,dcxj
胆憷	danchu,dc
胆粗气壮	dancuqizhuang,dcqz
胆大	danda,dd
胆大包天	dandabaotian,ddbt
胆大泼天	dandapotian,ddpt
胆大如斗	dandarudou,ddrd
胆大妄为	dandawangwei,ddww
胆大心粗	dandaxincu,ddxc
胆大心麄	dandaxincu,ddxc
胆大心麤	dandaxincu,ddxc
胆大心细	dandaxinxi,ddxx
胆大心小	dandaxinxiao,ddxx
胆大心雄	dandaxinxiong,ddxx
胆大于身	dandayushen,ddys
胆当	dandang,dd
胆道	dandao,dd
胆道蛔虫病	dandaohuichongbing,ddhcb
胆道系统	dandaoxitong,ddxt
胆儿	daner,de
胆矾	danfan,df
胆肥	danfei,df
胆敢	dangan,dg
胆干	dangan,dg
胆固醇	danguchun,dgc
胆管	danguan,dg
胆寒	danhan,dh
胆寒发竖	danhanfashu,dhfs
胆红素	danhongsu,dhs
胆悸	danji,dj
胆碱	danjian,dj
胆碱酯酶	danjianzhimei,djzm
胆结石	danjieshi,djs
胆惊心颤	danjingxinchan,djxc
胆决	danjue,dj
胆力	danli,dl
胆栗	danli,dl
胆练	danlian,dl
胆量	danliang,dl
胆烈	danlie,dl
胆裂	danlie,dl
胆裂魂飞	danliehunfei,dlhf
胆绿素	danlusu,dls
胆略	danlue,dl
胆落	danluo,dl
胆门	danmen,dm
胆囊	dannang,dn
胆囊炎	dannangyan,dny
胆娘	danniang,dn
胆瓶	danping,dp
胆瓶蕉	danpingjiao,dpj
胆破	danpo,dp
胆破心寒	danpoxinhan,dpxh
胆破心惊	danpoxinjing,dpxj
胆魄	danpo,dp
胆气	danqi,dq
胆怯	danqie,dq
胆怯地	danqiede,dqd
胆如斗	danrudou,drd
胆丧魂惊	dansanghunjing,dshj
胆丧魂消	dansanghunxiao,dshx
胆色素	dansesu,dss
胆慑	danshe,ds
胆石	danshi,ds
胆石绞痛	danshijiaotong,dsjt
胆石症	danshizheng,dsz
胆识	danshi,ds
胆守	danshou,ds
胆水	danshui,ds
胆铜	dantong,dt
胆土	dantu,dt
胆武	danwu,dw
胆小	danxiao,dx
胆小地	danxiaode,dxd
胆小管炎	danxiaoguanyan,dxgy
胆小鬼	danxiaogui,dxg
胆小怕事	danxiaopashi,dxps
胆小如豆	danxiaorudou,dxrd
胆小如鼠	danxiaorushu,dxrs
胆小如鼷	danxiaoruxi,dxrx
胆薪	danxin,dx
胆虚	danxu,dx
胆义	danyi,dy
胆意	danyi,dy
胆硬	danying,dy
胆勇	danyong,dy
胆俞	danyu,dy
胆欲大而心欲小	danyudaerxinxiao,dydexx
胆战	danzhan,dz
胆战心寒	danzhanxinhan,dzxh
胆战心慌	danzhanxinhuang,dzxh
胆战心惊	danzhanxinjing,dzxj
胆战心摇	danzhanxinyao,dzxy
胆汁	danzhi,dz
胆志	danzhi,dz
胆智	danzhi,dz
胆壮	danzhuang,dz
胆壮气粗	danzhuangqicu,dzqc
胆壮心雄	danzhuangxinxiong,dzxx
胆子	danzi,dz
