燃爆	ranbao,rb
燃灯佛	randengfo,rdf
燃点	randian,rd
燃顶	randing,rd
燃鼎	randing,rd
燃放	ranfang,rf
燃放鞭炮	ranfangbianpao,rfbp
燃耗	ranhao,rh
燃灰	ranhui,rh
燃火	ranhuo,rh
燃糠	rankang,rk
燃糠自照	rankangzizhao,rkzz
燃藜	ranli,rl
燃料	ranliao,rl
燃料电池	ranliaodianchi,rldc
燃料芯块	ranliaoxinkuai,rlxk
燃料循环	ranliaoxunhuan,rlxh
燃料油	ranliaoyou,rly
燃料元件细棒	ranliaoyuanjianxibang,rlyjxb
燃料组合	ranliaozuhe,rlzh
燃眉	ranmei,rm
燃眉之急	ranmeizhiji,rmzj
燃煤	ranmei,rm
燃煤锅炉	ranmeiguolu,rmgl
燃脐	ranqi,rq
燃萁煎豆	ranqijiandou,rqjd
燃萁之敏	ranqizhimin,rqzm
燃萁煮豆	ranqizhudou,rqzd
燃起	ranqi,rq
燃气	ranqi,rq
燃气电厂	ranqidianchang,rqdc
燃气轮机	ranqilunji,rqlj
燃肉身灯	ranroushendeng,rrsd
燃烧	ranshao,rs
燃烧般地	ranshaobande,rsbd
燃烧弹	ranshaodan,rsd
燃烧剂	ranshaoji,rsj
燃烧瓶	ranshaoping,rsp
燃烧匙	ranshaochi,rsc
燃烧炸弹	ranshaozhadan,rszd
燃石	ranshi,rs
燃素说	ransushuo,rss
燃犀	ranxi,rx
燃香	ranxiang,rx
燃油	ranyou,ry
燃油舱	ranyoucang,ryc
燃指	ranzhi,rz
燃灼	ranzhuo,rz
