图阿雷格	tualeige,talg
图案	tuan,ta
图白忒	tubaitui,tbt
图板	tuban,tb
图版	tuban,tb
图堡	tupu,tp
图报	tubao,tb
图标	tubiao,tb
图表	tubiao,tb
图表地	tubiaode,tbd
图波列夫	tuboliefu,tblf
图伯特	tubote,tbt
图簿	tubu,tb
图财害命	tucaihaiming,tchm
图册	tuce,tc
图层	tuceng,tc
图谶	tuchen,tc
图存	tucun,tc
图德	tude,td
图典	tudian,td
图谍	tudie,td
图牒	tudie,td
图钉	tuding,td
图度	tudu,td
图恩	tuen,te
图尔	tuer,te
图尔库	tuerku,tek
图法	tufa,tf
图工	tugong,tg
图功	tugong,tg
图馆	tuguan,tg
图国	tuguo,tg
图害	tuhai,th
图画	tuhua,th
图画文字	tuhuawenzi,thwz
图画纸	tuhuazhi,thz
图回	tuhui,th
图绘	tuhui,th
图缋	tuhui,th
图集	tuji,tj
图辑	tuji,tj
图籍	tuji,tj
图计	tuji,tj
图记	tuji,tj
图件	tujian,tj
图鉴	tujian,tj
图解	tujie,tj
图解说明	tujieshuoming,tjsm
图经	tujing,tj
图景	tujing,tj
图卷	tujuan,tj
图赖	tulai,tl
图雷特氏综合症	tuleiteshizonghezheng,tltszhz
图理	tuli,tl
图利	tuli,tl
图例	tuli,tl
图林根	tulingen,tlg
图灵	tuling,tl
图灵奖	tulingjiang,tlj
图卢斯	tulusi,tls
图卢兹	tuluzi,tlz
图录	tulu,tl
图箓	tulu,tl
图録	tulu,tl
图论	tulun,tl
图门江	tumenjiang,tmj
图们	tumen,tm
图们江	tumenjiang,tmj
图们市	tumenshi,tms
图谋	tumou,tm
图谋不轨	tumoubugui,tmbg
图木舒克	tumushuke,tmsk
图木舒克市	tumushukeshi,tmsks
图墓	tumu,tm
图南	tunan,tn
图南翼	tunanyi,tny
图囊	tunang,tn
图片	tupian,tp
图片报	tupianbao,tpb
图谱	tupu,tp
图签	tuqian,tq
图穷	tuqiong,tq
图穷匕见	tuqiongbixian,tqbx
图穷匕首见	tuqiongbishouxian,tqbsx
图全	tuquan,tq
图任	turen,tr
图识	tushi,ts
图史	tushi,ts
图示	tushi,ts
图式	tushi,ts
图书	tushu,ts
图书府	tushufu,tsf
图书馆	tushuguan,tsg
图书馆员	tushuguanyuan,tsgy
图书管理员	tushuguanliyuan,tsgly
图书室	tushushi,tss
图说	tushuo,ts
图坦卡门	tutankamen,ttkm
图坦卡蒙	tutankameng,ttkm
图腾	tuteng,tt
图腾崇拜	tutengchongbai,ttcb
图腾柱	tutengzhu,ttz
图瓦	tuwa,tw
图瓦卢	tuwalu,twl
图王	tuwang,tw
图惟	tuwei,tw
图维	tuwei,tw
图纬	tuwei,tw
图文	tuwen,tw
图文并茂	tuwenbingmao,twbm
图西族	tuxizu,txz
图象	tuxiang,tx
图像	tuxiang,tx
图像处理	tuxiangchuli,txcl
图像分割	tuxiangfenge,txfg
图像互换格式	tuxianghuhuangeshi,txhhgs
图像识别	tuxiangshibie,txsb
图像用户介面	tuxiangyonghujiemian,txyhjm
图写	tuxie,tx
图形	tuxing,tx
图形地	tuxingde,txd
图形界面	tuxingjiemian,txjm
图形卡	tuxingka,txk
图形用户界面	tuxingyonghujiemian,txyhjm
图型地	tuxingde,txd
图样	tuyang,ty
图样图森破	tuyangsenpo,tysp
图乙	tuyi,ty
图议	tuyi,ty
图载	tuzai,tz
图赞	tuzan,tz
图章	tuzhang,tz
图障	tuzhang,tz
图纸	tuzhi,tz
图志	tuzhi,tz
图治	tuzhi,tz
图轴	tuzhou,tz
图子	tuzi,tz
图作不轨	tuzuobugui,tzbg
