汗八里	hanbali,hbl
汗斑	hanban,hb
汗瘢	hanban,hb
汗背心	hanbeixin,hbx
汗鳖	hanbie,hb
汗不敢出	hanbuganchu,hbgc
汗涔涔	hancen,hc
汗臭	hanchou,hc
汗出浃背	hanchujiabei,hcjb
汗出洽背	hanchuqiabei,hcqb
汗出沾背	hanchuzhanbei,hczb
汗喘	hanchuan,hc
汗泚	hanci,hc
汗法	hanfa,hf
汗沟	hangou,hg
汗垢	hangou,hg
汗挂	hangua,hg
汗褂	hangua,hg
汗褂儿	hanguaer,hge
汗国	hanguo,hg
汗汗	han,h
汗汗沺沺	hantian,ht
汗号	hanhao,hh
汗火	hanhuo,hh
汗迹	hanji,hj
汗浃	hanjia,hj
汗简	hanjian,hj
汗碱	hanjian,hj
汗脚	hanjiao,hj
汗巾	hanjin,hj
汗津津	hanjin,hj
汗浸浸	hanjin,hj
汗酒	hanjiu,hj
汗孔	hankong,hk
汗栗	hanli,hl
汗粒	hanli,hl
汗淋淋	hanlin,hl
汗流夹背	hanliujiabei,hljb
汗流浃背	hanliujiabei,hljb
汗流浃肤	hanliujiafu,hljf
汗流浃体	hanliujiati,hljt
汗流浃踵	hanliujiazhong,hljz
汗流接踵	hanliujiezhong,hljz
汗流满面	hanliumanmian,hlmm
汗流洽背	hanliuqiabei,hlqb
汗流洽衣	hanliuqiayi,hlqy
汗流至踵	hanliuzhizhong,hlzz
汗漉漉	hanlu,hl
汗马	hanma,hm
汗马功	hanmagong,hmg
汗马功劳	hanmagonglao,hmgl
汗马牛	hanmaniu,hmn
汗马之功	hanmazhigong,hmzg
汗马之劳	hanmazhilao,hmzl
汗漫	hanman,hm
汗漫游	hanmanyou,hmy
汗毛	hanmao,hm
汗毛孔	hanmaokong,hmk
汗牛	hanniu,hn
汗牛充栋	hanniuchongdong,hncd
汗牛充屋	hanniuchongwu,hncw
汗牛马	hanniuma,hnm
汗牛塞栋	hanniusaidong,hnsd
汗气	hanqi,hq
汗袷	hanjia,hj
汗洽	hanqia,hq
汗洽股栗	hanqiaguli,hqgl
汗青	hanqing,hq
汗青头白	hanqingtoubai,hqtb
汗溶溶	hanrong,hr
汗如雨下	hanruyuxia,hryx
汗衫	hanshan,hs
汗水	hanshui,hs
汗帨	hanshui,hs
汗丝	hansi,hs
汗塌	hanta,ht
汗褟	hanta,ht
汗褟儿	hantaer,hte
汗禢儿	hantaer,hte
汗腾格里峰	hantenggelifeng,htglf
汗汪汪	hanwang,hw
汗位	hanwei,hw
汗污	hanwu,hw
汗席	hanxi,hx
汗下	hanxia,hx
汗腺	hanxian,hx
汗邪	hanxie,hx
汗星	hanxing,hx
汗羞	hanxiu,hx
汗血	hanxue,hx
汗血宝马	hanxuebaoma,hxbm
汗血驹	hanxueju,hxj
汗血马	hanxuema,hxm
汗血盐车	hanxueyanche,hxyc
汗颜	hanyan,hy
汗颜无地	hanyanwudi,hywd
汗药	hanyao,hy
汗液	hanye,hy
汗衣	hanyi,hy
汗雨	hanyu,hy
汗珠	hanzhu,hz
汗珠子	hanzhuzi,hzz
汗竹	hanzhu,hz
汗渍	hanzi,hz
汗渍渍	hanzi,hz
