盥涤	guandi,gd
盥耳	guaner,ge
盥溉	guangai,gg
盥浣	guanhuan,gh
盥澣	guanhan,gh
盥颒	guanhui,gh
盥馈	guankui,gk
盥沐	guanmu,gm
盥盘	guanpan,gp
盥盆	guanpen,gp
盥事	guanshi,gs
盥饰	guanshi,gs
盥手	guanshou,gs
盥漱	guanshu,gs
盥薇	guanwei,gw
盥洗	guanxi,gx
盥洗盆	guanxipen,gxp
盥洗室	guanxishi,gxs
盥献	guanxian,gx
盥浴	guanyu,gy
盥澡	guanzao,gz
盥栉	guanzhi,gz
盥濯	guanzhuo,gz
