戟幢	jizhuang,jz
戟刺	jici,jc
戟萃	jicui,jc
戟带	jidai,jd
戟盾	jidun,jd
戟楯	jidun,jd
戟戈	jige,jg
戟户	jihu,jh
戟级	ji,j
戟架	jijia,jj
戟节	jijie,jj
戟决	jijue,jj
戟吏	jili,jl
戟铓	jimang,jm
戟门	jimen,jm
戟气	jiqi,jq
戟髯	jiran,jr
戟手	jishou,js
戟矟	jishuo,js
戟槊	jishuo,js
戟卫	jiwei,jw
戟吻	jiwen,jw
戟牙	jiya,jy
戟衣	jiyi,jy
戟张	jizhang,jz
戟支	jizhi,jz
戟枝	jizhi,jz
戟指	jizhi,jz
戟指嚼舌	jizhijiaoshe,jzjs
戟指怒目	jizhinumu,jznm
