揉擦	rouca,rc
揉搓	roucuo,rc
揉错	roucuo,rc
揉耳	rouer,re
揉辐	roufu,rf
揉革	rouge,rg
揉合	rouhe,rh
揉和	rouhe,rh
揉慁	rouhun,rh
揉藉	roujie,rj
揉莒	rouju,rj
揉蓝	roulan,rl
揉炼	roulian,rl
揉摩	roumo,rm
揉磨	roumo,rm
揉捏	rounie,rn
揉弄	rounong,rn
揉挪	rounuo,rn
揉碎	rousui,rs
揉砑	rouya,ry
揉杂	rouza,rz
揉制	rouzhi,rz
揉斲	rouzhuo,rz
揉濯	rouzhuo,rz
