瓢桮	piaobei,pb
瓢杓	piaoshao,ps
瓢虫	piaochong,pc
瓢箪	piaodan,pd
瓢儿菜	piaoercai,pec
瓢冠	piaoguan,pg
瓢壶	piaohu,ph
瓢笠	piaoli,pl
瓢囊	piaonang,pn
瓢泼	piaopo,pp
瓢泼大雨	piaopodayu,ppdy
瓢泼而下	piaopoerxia,ppex
瓢泼瓦灌	piaopowaguan,ppwg
瓢勺	piaoshao,ps
瓢笙	piaosheng,ps
瓢堂	piaotang,pt
瓢饮	piaoyin,py
瓢觯	piaozhi,pz
瓢尊	piaozun,pz
瓢樽	piaozun,pz
