缄保	jianbao,jb
缄闭	jianbi,jb
缄藏	jiancang,jc
缄愁	jianchou,jc
缄唇	jianchun,jc
缄封	jianfeng,jf
缄翰	jianhan,jh
缄嘿	jianhei,jh
缄护	jianhu,jh
缄鐍	jianjue,jj
缄口	jiankou,jk
缄口不言	jiankoubuyan,jkby
缄口结舌	jiankoujieshe,jkjs
缄口无言	jiankouwuyan,jkwy
缄秘	jianmi,jm
缄密	jianmi,jm
缄默	jianmo,jm
缄情	jianqing,jq
缄绳	jiansheng,js
缄书	jianshu,js
缄素	jiansu,js
缄锁	jiansuo,js
缄鏁	jiansuo,js
缄縢	jianteng,jt
缄题	jianti,jt
缄帖	jiantie,jt
缄音	jianyin,jy
缄怨	jianyuan,jy
缄札	jianzha,jz
缄制	jianzhi,jz
