耿饼	gengbing,gb
耿怆	gengchuang,gc
耿邓	gengdeng,gd
耿耿	geng,g
耿耿于怀	gengyuhuai,gyh
耿耿于心	gengyuxin,gyx
耿光	gengguang,gg
耿怀	genghuai,gh
耿贾	gengjia,gj
耿节	gengjie,gj
耿洁	gengjie,gj
耿结	gengjie,gj
耿絜	gengjie,gj
耿介	gengjie,gj
耿晶晶	gengjing,gj
耿亮	gengliang,gl
耿烈	genglie,gl
耿马傣族佤族自治县	gengmadaizuwazizhixian,gmdzwzzx
耿马县	gengmaxian,gmx
耿黾	gengmian,gm
耿命	gengming,gm
耿特	gengte,gt
耿挺	gengting,gt
耿耀	gengyao,gy
耿悒	gengyi,gy
耿着	gengzhe,gz
耿正	gengzheng,gz
耿直	gengzhi,gz
耿灼	gengzhuo,gz
