肾痹	shenbi,sb
肾病	shenbing,sb
肾肠	shenchang,sc
肾功能	shengongneng,sgn
肾功能衰竭	shengongnengshuaijie,sgnsj
肾结石	shenjieshi,sjs
肾亏	shenkui,sk
肾囊	shennang,sn
肾气	shenqi,sq
肾窍	shenqiao,sq
肾上腺	shenshangxian,ssx
肾上腺皮质	shenshangxianpizhi,ssxpz
肾上腺素	shenshangxiansu,ssxs
肾上腺髓质	shenshangxiansuizhi,ssxsz
肾衰竭	shenshuaijie,ssj
肾水	shenshui,ss
肾下垂	shenxiachui,sxc
肾小管	shenxiaoguan,sxg
肾小球	shenxiaoqiu,sxq
肾虚	shenxu,sx
肾炎	shenyan,sy
肾盂	shenyu,sy
肾盂炎	shenyuyan,syy
肾脏	shenzang,sz
肾子	shenzi,sz
