搔把	saoba,sb
搔耙	saopa,sp
搔背	saobei,sb
搔背扒子	saobeipazi,sbpz
搔到痒处	saodaoyangchu,sdyc
搔动	saodong,sd
搔耳捶胸	saoerchuixiong,secx
搔瓜	saogua,sg
搔扪	saomen,sm
搔摸	saomo,sm
搔摩	saomo,sm
搔爬	saopa,sp
搔掐	saoqia,sq
搔扰	saorao,sr
搔搔	sao,s
搔首	saoshou,ss
搔首踟蹰	saoshouchichu,sscc
搔首弄姿	saoshounongzi,ssnz
搔头	saotou,st
搔头摸耳	saotoumoer,stme
搔头弄姿	saotounongzi,stnz
搔头抓耳	saotouzhuaer,stze
搔屑	saoxie,sx
搔痒	saoyang,sy
搔忧	saoyou,sy
搔着痒处	saozheyangchu,szyc
