酥脆	sucui,sc
酥灯	sudeng,sd
酥花	suhua,sh
酥酒	sujiu,sj
酥醪	sulao,sl
酥酪	sulao,sl
酥麻	suma,sm
酥蜜	sumi,sm
酥佥	suqian,sq
酥签	suqian,sq
酥融	surong,sr
酥乳	suru,sr
酥软	suruan,sr
酥润	surun,sr
酥松	susong,ss
酥松油脂	susongyouzhi,ssyz
酥汤	sutang,st
酥糖	sutang,st
酥酡	sutuo,st
酥懈	suxie,sx
酥胷	suxiong,sx
酥胸	suxiong,sx
酥油	suyou,sy
酥油草	suyoucao,syc
酥油茶	suyoucha,syc
酥油花	suyouhua,syh
酥雨	suyu,sy
