缁白	zibai,zb
缁布	zibu,zb
缁布冠	zibuguan,zbg
缁尘	zichen,zc
缁撮	zicuo,zc
缁点	zidian,zd
缁服	zifu,zf
缁褐	zihe,zh
缁黄	zihuang,zh
缁郎	zilang,zl
缁纚	zili,zl
缁林	zilin,zl
缁磷	zilin,zl
缁流	ziliu,zl
缁侣	zilu,zl
缁门	zimen,zm
缁衲	zina,zn
缁涅	zinie,zn
缁湼	zinie,zn
缁袍	zipao,zp
缁辟	zipi,zp
缁染	ziran,zr
缁人	ziren,zr
缁属	zishu,zs
缁叟	zisou,zs
缁素	zisu,zs
缁徒	zitu,zt
缁帷	ziwei,zw
缁锡	zixi,zx
缁衣	ziyi,zy
缁衣丈夫	ziyizhangfu,zyzf
