犇驰	benchi,bc
犇凑	bencou,bc
犇辏	bencou,bc
犇蹙	bencu,bc
犇窜	bencuan,bc
犇萃	bencui,bc
犇电	bendian,bd
犇遁	bendun,bd
犇遯	bendun,bd
犇呼	benhu,bh
犇急	benji,bj
犇竞	benjing,bj
犇濑	benlai,bl
犇雷	benlei,bl
犇厉	benli,bl
犇劣	benlie,bl
犇流	benliu,bl
犇马	benma,bm
犇忙	benmang,bm
犇命	benming,bm
犇散	bensan,bs
犇丧	bensang,bs
犇腾	benteng,bt
犇亡	benwang,bw
犇骛	benwu,bw
犇星	benxing,bx
犇佚	benyi,by
犇逸	benyi,by
犇逐	benzhu,bz
犇走	benzou,bz
