豚胉	tunbo,tb
豚肠草	tunchangcao,tcc
豚犊	tundu,td
豚儿	tuner,te
豚耳	tuner,te
豚肩	tunjian,tj
豚解	tunjie,tj
豚酒	tunjiu,tj
豚醪	tunlao,tl
豚臑	tunnao,tn
豚拍	tunpai,tp
豚佩	tunpei,tp
豚犬	tunquan,tq
豚鼠	tunshu,ts
豚蹄	tunti,tt
豚蹄穰田	tuntirangtian,ttrt
豚蹏	tundi,td
豚豚	tun,t
豚尾	tunwei,tw
豚胁	tunxie,tx
豚鱼	tunyu,ty
豚栅	tunshan,ts
豚肘	tunzhou,tz
豚子	tunzi,tz
