陟黜	zhichu,zc
陟罚臧否	zhifazangpi,zfzp
陟方	zhifang,zf
陟阜	zhifu,zf
陟冈	zhigang,zg
陟岵	zhihu,zh
陟岵瞻望	zhihuzhanwang,zhzw
陟岵陟屺	zhihuqi,zhq
陟健	zhijian,zj
陟降	zhijiang,zj
陟峻	zhijun,zj
陟恪	zhike,zk
陟厘	zhili,zl
陟厘纸	zhili,zl
陟里	zhili,zl
陟躐	zhilie,zl
陟明	zhiming,zm
陟配	zhipei,zp
陟屺	zhiqi,zq
陟劝	zhiquan,zq
陟涉	zhishe,zs
陟升	zhisheng,zs
陟遐	zhixia,zx
陟踵	zhizhong,zz
陟卓	zhizhuo,zz
