诤臣	zhengchen,zc
诤辞	zhengci,zc
诤谏	zhengjian,zj
诤戒	zhengjie,zj
诤竞	zhengjing,zj
诤论	zhenglun,zl
诤气	zhengqi,zq
诤人	zhengren,zr
诤舌	zhengshe,zs
诤士	zhengshi,zs
诤讼	zhengsong,zs
诤薮	zhengsou,zs
诤诉	zhengsu,zs
诤心	zhengxin,zx
诤恹	zhengyan,zy
诤懕	zhengyan,zy
诤言	zhengyan,zy
诤訮	zhengyan,zy
诤厌	zhengyan,zy
诤引	zhengyin,zy
诤友	zhengyou,zy
诤治	zhengzhi,zz
诤子	zhengzi,zz
