砻淬	longcui,lc
砻错	longcuo,lc
砻砥	longdi,ld
砻饭	longfan,lf
砻坊	longfang,lf
砻糠	longkang,lk
砻刻	longke,lk
砻厉	longli,ll
砻砺	longli,ll
砻炼	longlian,ll
砻砻	long,l
砻密	longmi,lm
砻磨	longmo,lm
砻甓	longpi,lp
砻石	longshi,ls
砻习	longxi,lx
砻冢	longzhong,lz
砻铸	longzhu,lz
砻斫	longzhuo,lz
砻斲	longzhuo,lz
砻斵	longzhuo,lz
砻琢	longzhuo,lz
