院坝	yuanba,yb
院本	yuanben,yb
院曹	yuancao,yc
院场	yuanchang,yc
院公	yuangong,yg
院画	yuanhua,yh
院家	yuanjia,yj
院君	yuanjun,yj
院考	yuankao,yk
院吏	yuanli,yl
院落	yuanluo,yl
院牧	yuanmu,ym
院判	yuanpan,yp
院墙	yuanqiang,yq
院师	yuanshi,ys
院使	yuanshi,ys
院士	yuanshi,ys
院试	yuanshi,ys
院姝	yuanshu,ys
院台	yuantai,yt
院套	yuantao,yt
院体	yuanti,yt
院体画	yuantihua,yth
院体派	yuantipai,ytp
院线	yuanxian,yx
院校	yuanxiao,yx
院宇	yuanyu,yy
院长	yuanzhang,yz
院主	yuanzhu,yz
院子	yuanzi,yz
院子家	yuanzijia,yzj
