孰不可忍	shubukeren,sbkr
孰察	shucha,sc
孰复	shufu,sf
孰何	shuhe,sh
孰湖	shuhu,sh
孰化	shuhua,sh
孰计	shuji,sj
孰谏	shujian,sj
孰烂	shulan,sl
孰料	shuliao,sl
孰虑	shulu,sl
孰论	shulun,sl
孰能无过	shunengwuguo,snwg
孰若	shuruo,sr
孰若卖之	shuruomaizhi,srmz
孰若起而拯之	shuruoqierzhengzhi,srqezz
孰谁	shushui,ss
孰食	shushi,ss
孰视	shushi,ss
孰田	shutian,st
孰悉	shuxi,sx
孰优孰劣	shuyoulie,syl
孰与	shuyu,sy
孰真孰假	shuzhenjia,szj
孰知	shuzhi,sz
