侥薄	yaobao,yb
侥会	yaohui,yh
侥觊	yaoji,yj
侥冀	yaoji,yj
侥竞	yaojing,yj
侥滥	yaolan,yl
侥利	yaoli,yl
侥躐	yaolie,yl
侥灵	yaoling,yl
侥冒	yaomao,ym
侥奇	yaoqi,yq
侥僺	yaoqiao,yq
侥求	yaoqiu,yq
侥取	yaoqu,yq
侥速	yaosu,ys
侥忝	yaotian,yt
侥望	yaowang,yw
侥傒	yaoxi,yx
侥幸	jiaoxing,jx
侥幸地	jiaoxingde,jxd
侥幸心理	jiaoxingxinli,jxxl
侥觎	yaoyu,yy
