立案	lian,la
立案侦查	lianzhencha,lazc
立百病毒	libaibingdu,lbbd
立班	liban,lb
立报	libao,lb
立碑	libei,lb
立本	liben,lb
立本羞	libenxiu,lbx
立逼	libi,lb
立便	libian,lb
立标	libiao,lb
立表	libiao,lb
立表下漏	libiaoxialou,lbxl
立部	libu,lb
立部伎	libuji,lbj
立草	licao,lc
立场	lichang,lc
立朝	lichao,lc
立朝夕	lizhaoxi,lzx
立车	liche,lc
立称	licheng,lc
立成	licheng,lc
立储	lichu,lc
立传	lizhuan,lz
立春	lichun,lc
立此存照	licicunzhao,lccz
立待	lidai,ld
立蛋	lidan,ld
立刀	lidao,ld
立刀旁	lidaopang,ldp
立德	lide,ld
立地	lidi,ld
立地成佛	lidichengfo,ldcf
立地生根	lidishenggen,ldsg
立地书厨	lidishuchu,ldsc
立地书橱	lidishuchu,ldsc
立等	lideng,ld
立等可取	lidengkequ,ldkq
立嫡	lidi,ld
立定	liding,ld
立定跳远	lidingtiaoyuan,ldty
立冬	lidong,ld
立陡陡	lidou,ld
立断	liduan,ld
立盹行眠	lidunxingmian,ldxm
立顿	lidun,ld
立法	lifa,lf
立法会	lifahui,lfh
立法机关	lifajiguan,lfjg
立法委员	lifaweiyuan,lfwy
立法委员会	lifaweiyuanhui,lfwyh
立法院	lifayuan,lfy
立方	lifang,lf
立方根	lifanggen,lfg
立方公尺	lifanggongchi,lfgc
立方厘米	lifangmi,lfm
立方米	lifangmi,lfm
立方体	lifangti,lft
立幅	lifu,lf
立杆见影	liganjianying,lgjy
立竿见影	liganjianying,lgjy
立槁	ligao,lg
立格	lige,lg
立功	ligong,lg
立功赎罪	ligongshuzui,lgsz
立瓜	ligua,lg
立规矩	liguiju,lgj
立柜	ligui,lg
立国	liguo,lg
立国安邦	liguoanbang,lgab
立后	lihou,lh
立户	lihu,lh
立化	lihua,lh
立即	liji,lj
立即地	lijide,ljd
立极	liji,lj
立戟	liji,lj
立计	liji,lj
立枷	lijia,lj
立家	lijia,lj
立间	lijian,lj
立僵	lijiang,lj
立交	lijiao,lj
立交桥	lijiaoqiao,ljq
立脚	lijiao,lj
立脚点	lijiaodian,ljd
立教	lijiao,lj
立节	lijie,lj
立卷	lijuan,lj
立决	lijue,lj
立军功	lijungong,ljg
立君	lijun,lj
立可白	likebai,lkb
立克次体	likeciti,lkct
立刻	like,lk
立刻地	likede,lkd
立鐀	likui,lk
立睖	lileng,ll
立论	lilun,ll
立马	lima,lm
立马盖桥	limagaiqiao,lmgq
立马良久	limaliangjiu,lmlj
立马万言	limawanyan,lmwy
立马造桥	limazaoqiao,lmzq
立马追镫	limazhuideng,lmzd
立马追驹	limazhuiju,lmzj
立眉瞪眼	limeidengyan,lmdy
立眉竖眼	limeishuyan,lmsy
立面图	limiantu,lmt
立名	liming,lm
立命	liming,lm
立命安身	liminganshen,lmas
立木	limu,lm
立木南门	limunanmen,lmnm
立男	linan,ln
立年	linian,ln
立辟	lipi,lp
立品	lipin,lp
立仆	lipu,lp
