撒播	sabo,sb
撒布	sabu,sb
撒痴撒娇	sachijiao,scj
撒旦	sadan,sd
撒但	sadan,sd
撒刁	sadiao,sd
撒丁岛	sadingdao,sdd
撒都该人	sadugairen,sdgr
撒豆成兵	sadouchengbing,sdcb
撒督	sadu,sd
撒尔孟	saermeng,sem
撒狗粮	sagouliang,sgl
撒哈拉	sahala,shl
撒哈拉人	sahalaren,shlr
撒哈拉沙漠	sahalashamo,shlsm
撒哈拉威	sahalawei,shlw
撒哈拉以南	sahalayinan,shlyn
撒哈拉以南非洲	sahalayinanfeizhou,shlynfz
撒欢	sahuan,sh
撒欢儿	sahuaner,she
撒谎	sahuang,sh
撒迦利亚	sajialiya,sjly
撒迦利亚书	sajialiyashu,sjlys
撒娇	sajiao,sj
撒娇地说	sajiaodeshuo,sjds
撒娇卖俏	sajiaomaiqiao,sjmq
撒娇撒痴	sajiaochi,sjc
撒娇似地	sajiaoshide,sjsd
撒脚	sajiao,sj
撒酒疯	sajiufeng,sjf
撒开	sakai,sk
撒科打诨	sakedahun,skdh
撒克逊	sakexun,skx
撒克逊人	sakexunren,skxr
撒拉	sala,sl
撒拉铁	salatie,slt
撒拉语	salayu,sly
撒拉族	salazu,slz
撒赖	salai,sl
撒罗满	saluoman,slm
撒落	saluo,sl
撒马尔干	samaergan,smeg
撒马尔罕	samaerhan,smeh
撒马利亚	samaliya,smly
撒门	samen,sm
撒母耳记上	samuerjishang,smejs
撒母耳记下	samuerjixia,smejx
撒尿	saniao,sn
撒泼	sapo,sp
撒泼打滚	sapodagun,spdg
撒泼放刁	sapofangdiao,spfd
撒气	saqi,sq
撒切尔	saqieer,sqe
撒切尔夫人	saqieerfuren,sqefr
撒然	saran,sr
撒骚放屁	sasaofangpi,ssfp
撒施	sashi,ss
撒手	sashou,ss
撒手闭眼	sashoubiyan,ssby
撒手不管	sashoubuguan,ssbg
撒手锏	sashoujian,ssj
撒手人寰	sashourenhuan,ssrh
撒水拿鱼	sashuinayu,ssny
撒腿	satui,st
撒网	sawang,sw
撒网捕风	sawangbufeng,swbf
撒西米	saximi,sxm
撒丫子	sayazi,syz
撒鸭子	sayazi,syz
撒野	saye,sy
撒呓挣	sayizheng,syz
撒诈捣虚	sazhadaoxu,szdx
撒种	sazhong,sz
