衮遍	gunbian,gb
衮带头	gundaitou,gdt
衮刀	gundao,gd
衮迭	gundie,gd
衮叠	gundie,gd
衮服	gunfu,gf
衮斧	gunfu,gf
衮黼	gunfu,gf
衮衮	gun,g
衮衮诸公	gunzhugong,gzg
衮华	gunhua,gh
衮敛	gunlian,gl
衮龙	gunlong,gl
衮龙袍	gunlongpao,glp
衮冕	gunmian,gm
衮命	gunming,gm
衮袍	gunpao,gp
衮球	gunqiu,gq
衮阙	gunque,gq
衮然	gunran,gr
衮裳	gunchang,gc
衮师	gunshi,gs
衮实无阙	gunshiwuque,gswq
衮司	gunsi,gs
衮舄	gunxi,gx
衮绣	gunxiu,gx
衮衣	gunyi,gy
衮衣西归	gunyixigui,gyxg
衮衣绣裳	gunyixiuchang,gyxc
衮衣以归	gunyigui,gyg
衮钺	gunyue,gy
衮藻	gunzao,gz
衮章	gunzhang,gz
衮职	gunzhi,gz
